T1,T2,T3,R1,R2,R3
-0.12976,-0.0603642,0,1.5305,1.54037,0
-0.129742,-0.060347,0,1.53017,1.54,0
-0.129724,-0.0603298,0,1.52983,1.53962,0
-0.129712,-0.0603214,0,1.52938,1.53942,0
-0.129701,-0.060313,0,1.52892,1.53921,0
-0.129695,-0.0603048,0,1.5289,1.53871,0
-0.12969,-0.0602966,0,1.52888,1.53821,0
-0.129682,-0.0602942,0,1.52859,1.5378,0
-0.129674,-0.0602919,0,1.5283,1.53739,0
-0.129667,-0.0602896,0,1.52801,1.53699,0
-0.129659,-0.0602873,0,1.52773,1.53658,0
-0.129654,-0.0602834,0,1.52734,1.53627,0
-0.12965,-0.0602795,0,1.52694,1.53596,0
-0.129636,-0.060272,0,1.52674,1.5355,0
-0.129623,-0.0602646,0,1.52653,1.53504,0
-0.129611,-0.0602644,0,1.52606,1.53489,0
-0.129599,-0.0602642,0,1.52559,1.53473,0
-0.1296,-0.0602562,0,1.52551,1.53424,0
-0.129601,-0.0602482,0,1.52543,1.53374,0
-0.129594,-0.060242,0,1.52493,1.53373,0
-0.129587,-0.0602358,0,1.52443,1.53371,0
-0.129584,-0.0602344,0,1.52414,1.5333,0
-0.129582,-0.060233,0,1.52386,1.53289,0
-0.129577,-0.0602326,0,1.52397,1.5324,0
-0.129571,-0.0602321,0,1.52408,1.53192,0
-0.129564,-0.0602298,0,1.5238,1.53151,0
-0.129556,-0.0602275,0,1.52351,1.5311,0
-0.129542,-0.0602203,0,1.5231,1.53081,0
-0.129528,-0.0602132,0,1.52269,1.53052,0
-0.12952,-0.0602109,0,1.5224,1.53011,0
-0.129512,-0.0602086,0,1.52212,1.5297,0
-0.129503,-0.0602027,0,1.52171,1.52942,0
-0.129494,-0.0601968,0,1.5213,1.52913,0
-0.129492,-0.0601949,0,1.52133,1.52863,0
-0.12949,-0.0601931,0,1.52137,1.52813,0
-0.129482,-0.0601906,0,1.521,1.52779,0
-0.129474,-0.0601881,0,1.52063,1.52746,0
-0.129458,-0.060164,0,1.5209,1.52703,0
-0.129443,-0.0601399,0,1.52117,1.52661,0
-0.129416,-0.0601373,0,1.52086,1.52622,0
-0.129389,-0.0601348,0,1.52055,1.52582,0
-0.129369,-0.0601238,0,1.52034,1.52537,0
-0.129349,-0.0601128,0,1.52013,1.52492,0
-0.129343,-0.06011,0,1.52015,1.52442,0
-0.129337,-0.0601073,0,1.52018,1.52392,0
-0.129326,-0.0601018,0,1.51976,1.52364,0
-0.129314,-0.0600963,0,1.51935,1.52335,0
-0.129298,-0.0600906,0,1.51886,1.52328,0
-0.129281,-0.0600849,0,1.51836,1.52321,0
-0.129281,-0.060084,0,1.51787,1.52316,0
-0.12928,-0.0600832,0,1.51737,1.52311,0
-0.129279,-0.0600808,0,1.5171,1.52269,0
-0.129278,-0.0600785,0,1.51682,1.52228,0
-0.129259,-0.0600741,0,1.51663,1.52182,0
-0.12924,-0.0600697,0,1.51643,1.52136,0
-0.129216,-0.0600609,0,1.51644,1.52086,0
-0.129191,-0.0600521,0,1.51645,1.52036,0
-0.129193,-0.0600481,0,1.51635,1.51987,0
-0.129195,-0.0600441,0,1.51624,1.51938,0
-0.129193,-0.0600382,0,1.51583,1.51909,0
-0.129191,-0.0600323,0,1.51542,1.51881,0
-0.129179,-0.060032,0,1.51492,1.51882,0
-0.129167,-0.0600316,0,1.51442,1.51883,0
-0.129156,-0.0600279,0,1.51419,1.51839,0
-0.129145,-0.0600242,0,1.51395,1.51794,0
-0.129126,-0.0600182,0,1.51354,1.51766,0
-0.129107,-0.0600123,0,1.51313,1.51737,0
-0.1291,-0.0600039,0,1.51293,1.51691,0
-0.129092,-0.0599954,0,1.51273,1.51646,0
-0.129085,-0.0599905,0,1.51226,1.51629,0
-0.129078,-0.0599855,0,1.51179,1.51612,0
-0.129075,-0.0599761,0,1.5113,1.51602,0
-0.129072,-0.0599667,0,1.51081,1.51592,0
-0.129056,-0.0599616,0,1.51035,1.51573,0
-0.129041,-0.0599565,0,1.50989,1.51553,0
-0.129034,-0.0599542,0,1.5096,1.51512,0
-0.129026,-0.059952,0,1.50931,1.51471,0
-0.129011,-0.0599459,0,1.50882,1.5148,0
-0.128996,-0.0599399,0,1.50833,1.51489,0
-0.128978,-0.0599315,0,1.50789,1.51512,0
-0.12896,-0.0599231,0,1.50744,1.51535,0
-0.128933,-0.0599207,0,1.50701,1.51561,0
-0.128905,-0.0599183,0,1.50658,1.51586,0
-0.128899,-0.059911,0,1.50625,1.51549,0
-0.128894,-0.0599037,0,1.50592,1.51512,0
-0.128884,-0.0599027,0,1.50573,1.51465,0
