t,x,y,z,qw,qx,qy,qz,x_r,y_r,z_r,x_sim,y_sim,z_sim,ctrl_time
49.987,-0.00908,-0.00249,0.11836,0.54238,0.13720,0.09500,-0.82339,-0.00920,-0.00220,0.11740,-0.00629,-0.00308,0.11740,0.00000
49.998,-0.00908,-0.00248,0.11835,0.54229,0.13732,0.09502,-0.82343,-0.00920,-0.00220,0.11740,-0.00629,-0.00308,0.11740,0.00000
50.008,-0.00908,-0.00248,0.11835,0.54229,0.13732,0.09502,-0.82343,-0.00920,-0.00220,0.11740,-0.00629,-0.00308,0.11740,0.00000
50.018,-0.00903,-0.00246,0.11835,0.54235,0.13727,0.09497,-0.82340,-0.00920,-0.00220,0.11740,-0.00629,-0.00308,0.11740,0.00000
120.688,0.00700,0.02675,0.13296,0.76979,-0.32424,0.01612,-0.54957,0.00660,0.02730,0.13250,0.00838,0.02703,0.13109,0.00000
120.698,0.00698,0.02673,0.13291,0.76990,-0.32432,0.01588,-0.54937,0.00660,0.02730,0.13250,0.00838,0.02703,0.13109,0.00000
120.708,0.00698,0.02673,0.13291,0.76990,-0.32432,0.01588,-0.54937,0.00660,0.02730,0.13250,0.00838,0.02703,0.13109,0.00000
120.718,0.00698,0.02673,0.13291,0.76990,-0.32432,0.01588,-0.54937,0.00660,0.02730,0.13250,0.00838,0.02703,0.13109,0.00000
168.788,0.01555,0.01860,0.13136,0.69911,-0.25577,0.13107,-0.65471,0.01640,0.01860,0.13100,0.01872,0.01681,0.12960,0.00000
168.798,0.01571,0.01847,0.13144,0.69877,-0.25646,0.13199,-0.65462,0.01640,0.01860,0.13100,0.01872,0.01681,0.12960,0.00000
168.808,0.01571,0.01847,0.13144,0.69877,-0.25646,0.13199,-0.65462,0.01640,0.01860,0.13100,0.01872,0.01681,0.12960,0.00000
168.818,0.01571,0.01847,0.13144,0.69877,-0.25646,0.13199,-0.65462,0.01640,0.01860,0.13100,0.01872,0.01681,0.12960,0.00000
233.488,-0.01995,0.02793,0.13417,0.82670,-0.13188,-0.39083,-0.38266,-0.02050,0.02740,0.13380,-0.01867,0.02247,0.13312,0.00000
233.498,-0.01999,0.02779,0.13416,0.82651,-0.13088,-0.39082,-0.38341,-0.02050,0.02740,0.13380,-0.01867,0.02247,0.13312,0.00000
233.508,-0.01999,0.02779,0.13416,0.82651,-0.13088,-0.39082,-0.38341,-0.02050,0.02740,0.13380,-0.01867,0.02247,0.13312,0.00000
233.518,-0.01999,0.02779,0.13416,0.82651,-0.13088,-0.39082,-0.38341,-0.02050,0.02740,0.13380,-0.01867,0.02247,0.13312,0.00000
418.188,0.02351,-0.00245,0.11428,0.59877,-0.22123,0.27122,-0.72039,0.02390,-0.00190,0.11410,0.02445,-0.00239,0.11349,0.00000
418.198,0.02352,-0.00243,0.11428,0.59876,-0.22115,0.27120,-0.72044,0.02390,-0.00190,0.11410,0.02445,-0.00239,0.11349,0.00000
418.208,0.02352,-0.00243,0.11428,0.59876,-0.22115,0.27120,-0.72044,0.02390,-0.00190,0.11410,0.02445,-0.00239,0.11349,0.00000
418.218,0.02352,-0.00243,0.11428,0.59876,-0.22115,0.27120,-0.72044,0.02390,-0.00190,0.11410,0.02445,-0.00239,0.11349,0.00000
544.588,-0.00459,0.00359,0.10441,0.59898,0.14563,-0.00941,-0.78735,-0.00510,0.00370,0.10420,-0.00283,0.00283,0.10368,0.00000
544.598,-0.00463,0.00359,0.10435,0.59901,0.14572,-0.00956,-0.78732,-0.00510,0.00370,0.10420,-0.00283,0.00283,0.10368,0.00000
544.608,-0.00463,0.00359,0.10435,0.59901,0.14572,-0.00956,-0.78732,-0.00510,0.00370,0.10420,-0.00283,0.00283,0.10368,0.00000
544.618,-0.00463,0.00359,0.10435,0.59901,0.14572,-0.00956,-0.78732,-0.00510,0.00370,0.10420,-0.00283,0.00283,0.10368,0.00000
581.387,0.01701,-0.01710,0.13764,0.57140,-0.16099,0.27804,-0.75516,0.01600,-0.01640,0.13770,0.01173,-0.00728,0.13911,0.00000
581.398,0.01701,-0.01710,0.13764,0.57142,-0.16102,0.27805,-0.75515,0.01600,-0.01640,0.13770,0.01173,-0.00728,0.13911,0.00000
581.408,0.01701,-0.01710,0.13764,0.57142,-0.16102,0.27805,-0.75515,0.01600,-0.01640,0.13770,0.01173,-0.00728,0.13911,0.00000
581.418,0.01701,-0.01710,0.13764,0.57142,-0.16102,0.27805,-0.75515,0.01600,-0.01640,0.13770,0.01173,-0.00728,0.13911,0.00000
637.987,0.01759,0.00089,0.12198,0.56553,-0.07793,0.23653,-0.78623,0.01770,0.00160,0.12190,0.02148,0.00176,0.11916,0.00000
637.997,0.01757,0.00087,0.12197,0.56552,-0.07787,0.23651,-0.78625,0.01770,0.00160,0.12190,0.02148,0.00176,0.11916,0.00000
638.008,0.01757,0.00087,0.12197,0.56552,-0.07787,0.23651,-0.78625,0.01770,0.00160,0.12190,0.02148,0.00176,0.11916,0.00000
638.018,0.01757,0.00087,0.12197,0.56552,-0.07787,0.23651,-0.78625,0.01770,0.00160,0.12190,0.02148,0.00176,0.11916,0.00000
684.388,0.01966,-0.00630,0.12361,0.51698,-0.05201,0.28377,-0.80591,0.01960,-0.00670,0.12340,0.02115,-0.00791,0.12230,0.00000
684.398,0.01967,-0.00633,0.12367,0.51682,-0.05224,0.28412,-0.80588,0.01960,-0.00670,0.12340,0.02115,-0.00791,0.12230,0.00000
684.408,0.01967,-0.00633,0.12367,0.51682,-0.05224,0.28412,-0.80588,0.01960,-0.00670,0.12340,0.02115,-0.00791,0.12230,0.00000
684.418,0.01967,-0.00633,0.12367,0.51682,-0.05224,0.28412,-0.80588,0.01960,-0.00670,0.12340,0.02115,-0.00791,0.12230,0.00000
785.687,-0.00887,0.00268,0.11013,0.75468,0.00493,-0.20624,-0.62281,-0.00960,0.00270,0.11010,-0.00817,0.00019,0.10920,0.00000
785.697,-0.00887,0.00268,0.11014,0.75470,0.00492,-0.20628,-0.62278,-0.00960,0.00270,0.11010,-0.00817,0.00019,0.10920,0.00000
785.707,-0.00887,0.00268,0.11014,0.75470,0.00492,-0.20628,-0.62278,-0.00960,0.00270,0.11010,-0.00817,0.00019,0.10920,0.00000
785.717,-0.00887,0.00268,0.11014,0.75470,0.00492,-0.20628,-0.62278,-0.00960,0.00270,0.11010,-0.00817,0.00019,0.10920,0.00000
819.687,-0.00999,-0.01544,0.11903,-0.41491,-0.29308,-0.11507,0.85365,-0.00960,-0.01280,0.12060,-0.00666,-0.01456,0.11907,0.00000
819.698,-0.00999,-0.01544,0.11903,-0.41490,-0.29307,-0.11509,0.85365,-0.00960,-0.01280,0.12060,-0.00666,-0.01456,0.11907,0.00000
819.708,-0.00999,-0.01544,0.11903,-0.41490,-0.29307,-0.11509,0.85365,-0.00960,-0.01280,0.12060,-0.00666,-0.01456,0.11907,0.00000
819.718,-0.00999,-0.01544,0.11903,-0.41490,-0.29307,-0.11509,0.85365,-0.00960,-0.01280,0.12060,-0.00666,-0.01456,0.11907,0.00000
865.288,-0.02109,-0.00350,0.13334,0.70069,0.14912,-0.25980,-0.64753,-0.02080,-0.00330,0.13300,-0.01688,-0.00812,0.13157,0.00000
865.298,-0.02114,-0.00337,0.13326,0.70122,0.14866,-0.26078,-0.64667,-0.02080,-0.00330,0.13300,-0.01688,-0.00812,0.13157,0.00000
865.308,-0.02114,-0.00337,0.13326,0.70122,0.14866,-0.26078,-0.64667,-0.02080,-0.00330,0.13300,-0.01688,-0.00812,0.13157,0.00000
865.318,-0.02114,-0.00337,0.13326,0.70122,0.14866,-0.26078,-0.64667,-0.02080,-0.00330,0.13300,-0.01688,-0.00812,0.13157,0.00000
903.287,-0.01513,0.01125,0.11190,0.77047,0.02654,-0.30766,-0.55769,-0.01490,0.01090,0.11220,-0.01303,0.00761,0.11203,0.00000
903.298,-0.01515,0.01125,0.11191,0.77048,0.02657,-0.30778,-0.55761,-0.01490,0.01090,0.11220,-0.01303,0.00761,0.11203,0.00000
903.308,-0.01515,0.01125,0.11191,0.77048,0.02657,-0.30778,-0.55761,-0.01490,0.01090,0.11220,-0.01303,0.00761,0.11203,0.00000
903.318,-0.01515,0.01125,0.11191,0.77048,0.02657,-0.30778,-0.55761,-0.01490,0.01090,0.11220,-0.01303,0.00761,0.11203,0.00000
934.692,-0.01412,-0.01124,0.13239,-0.43239,-0.18826,-0.20020,0.85879,-0.01420,-0.01170,0.13210,-0.00897,-0.01126,0.13205,0.00000
934.706,-0.01417,-0.01130,0.13235,-0.43224,-0.18836,-0.20030,0.85882,-0.01420,-0.01170,0.13210,-0.00897,-0.01126,0.13205,0.00000
934.716,-0.01417,-0.01130,0.13235,-0.43224,-0.18836,-0.20030,0.85882,-0.01420,-0.01170,0.13210,-0.00897,-0.01126,0.13205,0.00000
934.726,-0.01419,-0.01133,0.13242,-0.43224,-0.18813,-0.20052,0.85882,-0.01420,-0.01170,0.13210,-0.00897,-0.01126,0.13205,0.00000
990.588,0.01278,0.01940,0.13273,0.70603,-0.24797,0.11488,-0.65333,0.01310,0.01940,0.13240,0.01507,0.01884,0.13051,0.00000
