t,x,y,z,qw,qx,qy,qz,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz,s3_x,s3_y,s3_z,s3_qw,s3_qx,s3_qy,s3_qz
0.021,-0.01985,-0.00506,0.12976,-0.44118,-0.30071,-0.06244,0.84323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.046,-0.01985,-0.00506,0.12976,-0.44116,-0.30072,-0.06245,0.84323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.071,-0.01985,-0.00506,0.12976,-0.44117,-0.30072,-0.06245,0.84323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.096,-0.01985,-0.00506,0.12976,-0.44118,-0.30071,-0.06245,0.84323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.121,-0.01986,-0.00506,0.12976,-0.44118,-0.30072,-0.06244,0.84323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.146,-0.01986,-0.00506,0.12976,-0.44117,-0.30071,-0.06247,0.84323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.171,-0.01986,-0.00506,0.12976,-0.44115,-0.30074,-0.06246,0.84323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.196,-0.01986,-0.00506,0.12976,-0.44116,-0.30071,-0.06248,0.84324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.221,-0.01986,-0.00505,0.12976,-0.44115,-0.30074,-0.06246,0.84323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.246,-0.01986,-0.00506,0.12976,-0.44113,-0.30073,-0.06250,0.84324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.271,-0.01986,-0.00506,0.12976,-0.44113,-0.30074,-0.06249,0.84324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.296,-0.01986,-0.00506,0.12976,-0.44111,-0.30074,-0.06250,0.84325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.321,-0.01986,-0.00505,0.12976,-0.44113,-0.30074,-0.06249,0.84324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.346,-0.01986,-0.00506,0.12975,-0.44109,-0.30076,-0.06252,0.84325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.371,-0.01986,-0.00506,0.12976,-0.44110,-0.30075,-0.06252,0.84325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.396,-0.01986,-0.00507,0.12975,-0.44108,-0.30076,-0.06253,0.84326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.421,-0.01986,-0.00507,0.12977,-0.44111,-0.30072,-0.06254,0.84326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.446,-0.01986,-0.00507,0.12976,-0.44107,-0.30075,-0.06256,0.84326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.471,-0.01986,-0.00507,0.12977,-0.44109,-0.30071,-0.06258,0.84327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.496,-0.01986,-0.00507,0.12976,-0.44107,-0.30074,-0.06257,0.84327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.521,-0.01986,-0.00507,0.12977,-0.44109,-0.30072,-0.06256,0.84326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.546,-0.01985,-0.00507,0.12977,-0.44110,-0.30072,-0.06256,0.84326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.571,-0.01985,-0.00507,0.12977,-0.44108,-0.30071,-0.06259,0.84327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.596,-0.01985,-0.00507,0.12977,-0.44108,-0.30072,-0.06258,0.84327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.621,-0.01985,-0.00507,0.12977,-0.44108,-0.30070,-0.06260,0.84327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.646,-0.01985,-0.00507,0.12978,-0.44107,-0.30071,-0.06261,0.84327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.671,-0.01985,-0.00507,0.12977,-0.44107,-0.30072,-0.06260,0.84327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.696,-0.01985,-0.00507,0.12978,-0.44108,-0.30071,-0.06260,0.84327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.721,-0.01985,-0.00507,0.12978,-0.44108,-0.30072,-0.06258,0.84327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.746,-0.01985,-0.00507,0.12978,-0.44106,-0.30071,-0.06262,0.84328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.771,-0.01985,-0.00507,0.12978,-0.44108,-0.30072,-0.06258,0.84327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.796,-0.01985,-0.00507,0.12978,-0.44107,-0.30072,-0.06260,0.84327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.821,-0.01985,-0.00507,0.12977,-0.44109,-0.30074,-0.06254,0.84326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.846,-0.01985,-0.00507,0.12977,-0.44111,-0.30071,-0.06255,0.84326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.871,-0.01984,-0.00507,0.12976,-0.44110,-0.30075,-0.06251,0.84325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.896,-0.01984,-0.00507,0.12977,-0.44114,-0.30071,-0.06251,0.84325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.921,-0.01984,-0.00506,0.12976,-0.44113,-0.30075,-0.06247,0.84324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.946,-0.01984,-0.00506,0.12977,-0.44116,-0.30072,-0.06245,0.84323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.971,-0.01984,-0.00506,0.12976,-0.44116,-0.30075,-0.06243,0.84323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.998,-0.01984,-0.00505,0.12976,-0.44120,-0.30073,-0.06240,0.84322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
1.021,-0.01984,-0.00506,0.12976,-0.44118,-0.30074,-0.06241,0.84322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
