t,x_r,y_r,z_r,x_sim,y_sim,z_sim,f_x,f_y,f_z,f_mag,ctrl_time
0.021,-0.015208,0.012989,0.130000,-0.019846,-0.005049,0.129770,0.070525,0.070091,-0.280840,0.297922,28.122000
0.046,-0.015259,0.012929,0.130000,-0.019847,-0.005052,0.129769,0.070527,0.070074,-0.280866,0.297944,22.374000
0.071,-0.015310,0.012869,0.130000,-0.019848,-0.005054,0.129768,0.070527,0.070061,-0.280892,0.297965,26.093000
0.096,-0.015360,0.012809,0.130000,-0.019851,-0.005056,0.129766,0.070526,0.070049,-0.280916,0.297984,27.347000
0.121,-0.015360,0.012809,0.130000,-0.019854,-0.005058,0.129765,0.070527,0.070039,-0.280935,0.298000,27.347000
0.146,-0.015460,0.012688,0.130000,-0.019855,-0.005059,0.129764,0.070528,0.070035,-0.280947,0.298011,22.575000
0.171,-0.015510,0.012627,0.130000,-0.019856,-0.005060,0.129764,0.070528,0.070035,-0.280955,0.298019,21.268000
0.196,-0.015559,0.012566,0.130000,-0.019857,-0.005060,0.129763,0.070526,0.070038,-0.280961,0.298024,21.379000
0.221,-0.015609,0.012505,0.130000,-0.019858,-0.005060,0.129763,0.070525,0.070040,-0.280968,0.298031,20.642000
0.246,-0.015658,0.012443,0.130000,-0.019860,-0.005059,0.129762,0.070526,0.070041,-0.280980,0.298042,20.479000
0.271,-0.015706,0.012382,0.130000,-0.019861,-0.005059,0.129762,0.070526,0.070043,-0.280993,0.298056,18.999000
0.296,-0.015755,0.012320,0.130000,-0.019863,-0.005059,0.129761,0.070527,0.070045,-0.281005,0.298068,19.148000
0.321,-0.015803,0.012258,0.130000,-0.019863,-0.005058,0.129761,0.070530,0.070046,-0.281013,0.298076,18.584000
0.346,-0.015851,0.012196,0.130000,-0.019863,-0.005059,0.129761,0.070533,0.070046,-0.281021,0.298084,19.089000
0.371,-0.015899,0.012134,0.130000,-0.019862,-0.005059,0.129761,0.070534,0.070047,-0.281029,0.298092,19.057000
0.396,-0.015946,0.012071,0.130000,-0.019862,-0.005059,0.129761,0.070536,0.070046,-0.281038,0.298101,18.481000
0.421,-0.015994,0.012008,0.130000,-0.019863,-0.005059,0.129761,0.070538,0.070041,-0.281050,0.298111,18.851000
0.446,-0.016041,0.011946,0.130000,-0.019862,-0.005060,0.129761,0.070542,0.070032,-0.281061,0.298121,17.791000
0.471,-0.016088,0.011882,0.130000,-0.019862,-0.005062,0.129761,0.070546,0.070021,-0.281067,0.298125,17.780000
0.496,-0.016134,0.011819,0.130000,-0.019860,-0.005064,0.129761,0.070549,0.070009,-0.281066,0.298122,17.957000
0.521,-0.016180,0.011756,0.130000,-0.019857,-0.005066,0.129761,0.070551,0.069998,-0.281058,0.298112,18.039000
0.546,-0.016226,0.011692,0.130000,-0.019855,-0.005067,0.129762,0.070550,0.069989,-0.281047,0.298099,17.916000
0.571,-0.016272,0.011628,0.130000,-0.019854,-0.005069,0.129762,0.070548,0.069984,-0.281036,0.298087,20.712000
0.596,-0.016318,0.011564,0.130000,-0.019853,-0.005069,0.129762,0.070547,0.069983,-0.281021,0.298073,17.927000
0.621,-0.016363,0.011500,0.130000,-0.019852,-0.005069,0.129763,0.070545,0.069981,-0.281003,0.298055,18.058000
0.646,-0.016408,0.011436,0.130000,-0.019851,-0.005070,0.129763,0.070541,0.069978,-0.280978,0.298030,18.763000
0.671,-0.016453,0.011371,0.130000,-0.019851,-0.005070,0.129764,0.070535,0.069973,-0.280944,0.297995,19.092000
0.696,-0.016497,0.011307,0.130000,-0.019849,-0.005070,0.129764,0.070528,0.069967,-0.280902,0.297953,18.054000
0.721,-0.016542,0.011242,0.130000,-0.019848,-0.005070,0.129765,0.070518,0.069962,-0.280861,0.297910,18.425000
0.746,-0.016586,0.011177,0.130000,-0.019848,-0.005070,0.129765,0.070507,0.069958,-0.280822,0.297870,18.829000
0.771,-0.016629,0.011111,0.130000,-0.019850,-0.005070,0.129765,0.070496,0.069955,-0.280783,0.297830,18.634000
0.796,-0.016673,0.011046,0.130000,-0.019851,-0.005070,0.129765,0.070488,0.069951,-0.280743,0.297789,19.050000
0.821,-0.016716,0.010980,0.130000,-0.019850,-0.005070,0.129766,0.070482,0.069947,-0.280705,0.297751,17.783000
0.846,-0.016759,0.010915,0.130000,-0.019849,-0.005070,0.129766,0.070478,0.069944,-0.280675,0.297721,17.930000
0.871,-0.016802,0.010849,0.130000,-0.019847,-0.005070,0.129767,0.070476,0.069943,-0.280656,0.297702,18.471000
0.896,-0.016844,0.010783,0.130000,-0.019846,-0.005070,0.129768,0.070476,0.069943,-0.280648,0.297695,18.213000
0.921,-0.016887,0.010717,0.130000,-0.019845,-0.005070,0.129768,0.070477,0.069944,-0.280652,0.297699,21.813000
0.946,-0.016929,0.010650,0.130000,-0.019845,-0.005070,0.129768,0.070480,0.069952,-0.280662,0.297711,18.198000
0.971,-0.016970,0.010584,0.130000,-0.019845,-0.005069,0.129768,0.070484,0.069966,-0.280677,0.297729,19.530000
0.998,-0.017012,0.010517,0.130000,-0.019845,-0.005067,0.129768,0.070489,0.069983,-0.280696,0.297752,18.266000
1.021,-0.017053,0.010450,0.130000,-0.019845,-0.005065,0.129768,0.070495,0.070001,-0.280719,0.297780,19.730000
1.046,-0.017094,0.010383,0.130000,-0.019845,-0.005063,0.129768,0.070502,0.070020,-0.280745,0.297811,18.584000
1.071,-0.017134,0.010316,0.130000,-0.019846,-0.005060,0.129769,0.070508,0.070035,-0.280771,0.297840,19.435000
1.096,-0.017175,0.010248,0.130000,-0.019846,-0.005059,0.129768,0.070512,0.070048,-0.280792,0.297864,18.322000
1.121,-0.017215,0.010181,0.130000,-0.019847,-0.005057,0.129768,0.070514,0.070061,-0.280807,0.297882,18.218000
1.146,-0.017255,0.010113,0.130000,-0.019848,-0.005055,0.129768,0.070514,0.070074,-0.280819,0.297896,18.374000
1.171,-0.017294,0.010045,0.130000,-0.019850,-0.005053,0.129768,0.070514,0.070083,-0.280828,0.297907,18.962000
1.196,-0.017334,0.009977,0.130000,-0.019851,-0.005052,0.129767,0.070513,0.070088,-0.280835,0.297914,18.216000
1.221,-0.017373,0.009909,0.130000,-0.019852,-0.005051,0.129767,0.070513,0.070091,-0.280836,0.297916,18.790000
1.246,-0.017411,0.009841,0.130000,-0.019853,-0.005051,0.129767,0.070511,0.070095,-0.280830,0.297910,17.657000
1.271,-0.017450,0.009772,0.130000,-0.019853,-0.005050,0.129767,0.070508,0.070099,-0.280819,0.297900,18.647000
1.296,-0.017488,0.009704,0.130000,-0.019854,-0.005049,0.129767,0.070505,0.070101,-0.280813,0.297894,18.144000
1.321,-0.017526,0.009635,0.130000,-0.019855,-0.005049,0.129767,0.070502,0.070103,-0.280815,0.297896,18.849000
