X,Y,Z
-13.019,-28.2117,-159.626
6.37505,-3.72707,-150.368
-18.1213,15.5975,-170.933
-13.7933,-24.8521,-59.7293
6.11816,0.529289,-50.9943
-18.496,21.1387,-52.1417
