t,q1,q2,q3,q4,q1_dot,q2_dot,q3_dot,q4_dot,c1,c2,c3,c4,q_r1,q_r2,q_r3,q_r4,q_r1_dot,q_r2_dot,q_r3_dot,q_r4_dot
13.388,-1.335875,-0.155799,-1.336050,-0.071900,0.024435,0.000030,0.000000,0.000000,-16.900000,-8.000000,-47.800000,49.900000,-1.336074,-0.155799,-1.336074,-0.071900,0.000000,0.000000,0.000000,0.000000
13.398,-1.335875,-0.155799,-1.336050,-0.071900,0.024435,0.000030,0.000000,0.000000,-16.900000,-8.000000,-47.800000,49.900000,-1.336074,-0.155799,-1.336074,-0.071900,0.000000,0.000000,0.000000,0.000000
13.408,-1.335875,-0.155799,-1.336050,-0.071900,0.024435,0.000030,0.000000,0.000000,-16.900000,-8.000000,-47.800000,49.900000,-1.336074,-0.155799,-1.336074,-0.071900,0.000000,0.000000,0.000000,0.000000
13.418,-1.335875,-0.155799,-1.336050,-0.071900,0.024435,0.000030,0.000000,0.000000,-16.900000,-8.000000,-47.800000,49.900000,-1.336074,-0.155799,-1.336074,-0.071900,0.000000,0.000000,0.000000,0.000000
16.888,-1.392773,-0.153707,-1.295558,-0.071800,0.038397,0.000050,0.000000,0.000000,-19.900000,18.000000,-9.200000,57.500000,-1.392807,-0.153708,-1.295674,-0.071062,0.000000,0.000000,0.000000,0.000000
16.898,-1.392773,-0.153707,-1.295558,-0.071800,0.038397,0.000050,0.000000,0.000000,-19.900000,18.000000,-9.200000,57.500000,-1.392807,-0.153708,-1.295674,-0.071062,0.000000,0.000000,0.000000,0.000000
16.908,-1.392773,-0.153707,-1.295558,-0.071800,0.038397,0.000050,0.000000,0.000000,-19.900000,18.000000,-9.200000,57.500000,-1.392807,-0.153708,-1.295674,-0.071062,0.000000,0.000000,0.000000,0.000000
16.918,-1.392773,-0.153707,-1.295558,-0.071800,0.038397,0.000050,0.000000,0.000000,-19.900000,18.000000,-9.200000,57.500000,-1.392807,-0.153708,-1.295674,-0.071062,0.000000,0.000000,0.000000,0.000000
17.287,-1.447576,-0.151683,-1.256463,-0.070249,-0.022689,0.000210,0.000000,0.000000,-21.000000,-4.400000,133.500000,157.600000,-1.447675,-0.151680,-1.256523,-0.070249,0.000000,0.000000,0.000000,0.000000
17.297,-1.447576,-0.151683,-1.256463,-0.070249,-0.022689,0.000210,0.000000,0.000000,-21.000000,-4.400000,133.500000,157.600000,-1.447675,-0.151680,-1.256523,-0.070249,0.000000,0.000000,0.000000,0.000000
17.308,-1.447576,-0.151683,-1.256463,-0.070249,-0.022689,0.000210,0.000000,0.000000,-21.000000,-4.400000,133.500000,157.600000,-1.447675,-0.151680,-1.256523,-0.070249,0.000000,0.000000,0.000000,0.000000
17.318,-1.447576,-0.151683,-1.256463,-0.070249,-0.022689,0.000210,0.000000,0.000000,-21.000000,-4.400000,133.500000,157.600000,-1.447675,-0.151680,-1.256523,-0.070249,0.000000,0.000000,0.000000,0.000000
17.688,-1.381079,-0.149670,-1.298525,-0.069366,0.043633,0.000150,0.000000,0.000000,-10.200000,28.000000,-35.500000,145.300000,-1.380929,-0.149667,-1.298611,-0.069367,0.000000,0.000000,0.000000,0.000000
17.698,-1.381079,-0.149670,-1.298525,-0.069366,0.043633,0.000150,0.000000,0.000000,-10.200000,28.000000,-35.500000,145.300000,-1.380929,-0.149667,-1.298611,-0.069367,0.000000,0.000000,0.000000,0.000000
17.708,-1.381079,-0.149670,-1.298525,-0.069366,0.043633,0.000150,0.000000,0.000000,-10.200000,28.000000,-35.500000,145.300000,-1.380929,-0.149667,-1.298611,-0.069367,0.000000,0.000000,0.000000,0.000000
17.718,-1.381079,-0.149670,-1.298525,-0.069366,0.043633,0.000150,0.000000,0.000000,-10.200000,28.000000,-35.500000,145.300000,-1.380929,-0.149667,-1.298611,-0.069367,0.000000,0.000000,0.000000,0.000000
18.592,-1.444784,-0.147646,-1.265364,-0.068431,-0.024435,0.000050,0.000000,0.000000,-22.900000,-0.200000,108.700000,84.500000,-1.444873,-0.147647,-1.265270,-0.068432,0.000000,0.000000,0.000000,0.000000
18.602,-1.444784,-0.147646,-1.265364,-0.068431,-0.024435,0.000050,0.000000,0.000000,-22.900000,-0.200000,108.700000,84.500000,-1.444873,-0.147647,-1.265270,-0.068432,0.000000,0.000000,0.000000,0.000000
18.612,-1.444784,-0.147646,-1.265364,-0.068431,-0.024435,0.000050,0.000000,0.000000,-22.900000,-0.200000,108.700000,84.500000,-1.444873,-0.147647,-1.265270,-0.068432,0.000000,0.000000,0.000000,0.000000
18.623,-1.444784,-0.147646,-1.265364,-0.068431,-0.024435,0.000050,0.000000,0.000000,-22.900000,-0.200000,108.700000,84.500000,-1.444873,-0.147647,-1.265270,-0.068432,0.000000,0.000000,0.000000,0.000000
22.088,-1.508314,-0.145645,-1.227665,-0.067517,0.015708,-0.000070,0.000000,0.000000,-23.400000,-0.400000,-6.900000,131.100000,-1.508423,-0.145645,-1.227887,-0.067517,0.000000,0.000000,0.000000,0.000000
22.098,-1.508314,-0.145645,-1.227665,-0.067517,0.015708,-0.000070,0.000000,0.000000,-23.400000,-0.400000,-6.900000,131.100000,-1.508423,-0.145645,-1.227887,-0.067517,0.000000,0.000000,0.000000,0.000000
22.108,-1.508314,-0.145645,-1.227665,-0.067517,0.015708,-0.000070,0.000000,0.000000,-23.400000,-0.400000,-6.900000,131.100000,-1.508423,-0.145645,-1.227887,-0.067517,0.000000,0.000000,0.000000,0.000000
22.118,-1.508314,-0.145645,-1.227665,-0.067517,0.015708,-0.000070,0.000000,0.000000,-23.400000,-0.400000,-6.900000,131.100000,-1.508423,-0.145645,-1.227887,-0.067517,0.000000,0.000000,0.000000,0.000000
22.588,-1.571669,-0.143644,-1.190315,-0.066603,0.076794,0.000010,-0.001745,0.000000,-23.400000,17.600000,-32.500000,122.300000,-1.571973,-0.143644,-1.190504,-0.066603,0.000000,0.000000,0.000000,0.000000
22.598,-1.571669,-0.143644,-1.190315,-0.066603,0.076794,0.000010,-0.001745,0.000000,-23.400000,17.600000,-32.500000,122.300000,-1.571973,-0.143644,-1.190504,-0.066603,0.000000,0.000000,0.000000,0.000000
22.608,-1.571669,-0.143644,-1.190315,-0.066603,0.076794,0.000010,-0.001745,0.000000,-23.400000,17.600000,-32.500000,122.300000,-1.571973,-0.143644,-1.190504,-0.066603,0.000000,0.000000,0.000000,0.000000
22.618,-1.571669,-0.143644,-1.190315,-0.066603,0.076794,0.000010,-0.001745,0.000000,-23.400000,17.600000,-32.500000,122.300000,-1.571973,-0.143644,-1.190504,-0.066603,0.000000,0.000000,0.000000,0.000000
26.091,-1.486322,-0.141615,-1.234471,-0.065639,0.045379,-0.000100,0.000000,0.000000,-17.900000,-11.200000,-21.400000,92.400000,-1.486640,-0.141616,-1.234584,-0.065639,0.000000,0.000000,0.000000,0.000000
26.103,-1.486322,-0.141615,-1.234471,-0.065639,0.045379,-0.000100,0.000000,0.000000,-17.900000,-11.200000,-21.400000,92.400000,-1.486640,-0.141616,-1.234584,-0.065639,0.000000,0.000000,0.000000,0.000000
26.113,-1.486322,-0.141615,-1.234471,-0.065639,0.045379,-0.000100,0.000000,0.000000,-17.900000,-11.200000,-21.400000,92.400000,-1.486640,-0.141616,-1.234584,-0.065639,0.000000,0.000000,0.000000,0.000000
