t,x,y,z,qw,qx,qy,qz,x_r,y_r,z_r,x_sim,y_sim,z_sim,ctrl_time
13.388,-0.00146,-0.00017,0.06050,0.66497,0.03122,-0.01314,-0.74610,-0.00920,-0.00220,0.11740,0.00022,-0.00011,0.06058,0.00000
13.398,-0.00146,-0.00018,0.06050,0.66498,0.03122,-0.01315,-0.74610,-0.00920,-0.00220,0.11740,0.00022,-0.00011,0.06058,0.00000
13.408,-0.00146,-0.00018,0.06050,0.66498,0.03122,-0.01315,-0.74610,-0.00920,-0.00220,0.11740,0.00022,-0.00011,0.06058,0.00000
13.418,-0.00145,-0.00018,0.06050,0.66498,0.03122,-0.01316,-0.74609,-0.00920,-0.00220,0.11740,0.00022,-0.00011,0.06058,0.00000
16.888,-0.00156,-0.00019,0.06195,0.66377,0.03485,-0.01440,-0.74699,-0.00920,-0.00220,0.11740,0.00018,-0.00018,0.06254,0.00000
16.898,-0.00158,-0.00019,0.06195,0.66377,0.03483,-0.01438,-0.74699,-0.00920,-0.00220,0.11740,0.00018,-0.00018,0.06254,0.00000
16.908,-0.00158,-0.00019,0.06195,0.66377,0.03483,-0.01438,-0.74699,-0.00920,-0.00220,0.11740,0.00018,-0.00018,0.06254,0.00000
16.918,-0.00158,-0.00019,0.06195,0.66377,0.03483,-0.01438,-0.74699,-0.00920,-0.00220,0.11740,0.00018,-0.00018,0.06254,0.00000
17.287,-0.00182,-0.00010,0.06396,0.66416,0.04105,-0.02149,-0.74615,-0.00920,-0.00220,0.11740,-0.00007,-0.00012,0.06440,0.00000
17.297,-0.00176,-0.00010,0.06394,0.66420,0.04122,-0.02175,-0.74610,-0.00920,-0.00220,0.11740,-0.00007,-0.00012,0.06440,0.00000
17.308,-0.00176,-0.00010,0.06394,0.66420,0.04122,-0.02175,-0.74610,-0.00920,-0.00220,0.11740,-0.00007,-0.00012,0.06440,0.00000
17.318,-0.00176,-0.00010,0.06394,0.66420,0.04122,-0.02175,-0.74610,-0.00920,-0.00220,0.11740,-0.00007,-0.00012,0.06440,0.00000
17.688,-0.00197,-0.00008,0.06595,0.66248,0.04957,-0.02693,-0.74696,-0.00920,-0.00220,0.11740,-0.00029,-0.00006,0.06634,0.00000
17.698,-0.00193,-0.00006,0.06597,0.66248,0.04954,-0.02689,-0.74696,-0.00920,-0.00220,0.11740,-0.00029,-0.00006,0.06634,0.00000
17.708,-0.00193,-0.00006,0.06597,0.66248,0.04954,-0.02689,-0.74696,-0.00920,-0.00220,0.11740,-0.00029,-0.00006,0.06634,0.00000
17.718,-0.00203,-0.00007,0.06598,0.66243,0.04944,-0.02670,-0.74701,-0.00920,-0.00220,0.11740,-0.00029,-0.00006,0.06634,0.00000
18.592,-0.00216,-0.00010,0.06800,0.65979,0.05932,-0.03179,-0.74843,-0.00920,-0.00220,0.11740,-0.00056,-0.00011,0.06822,0.00000
18.602,-0.00216,-0.00010,0.06800,0.65980,0.05931,-0.03179,-0.74843,-0.00920,-0.00220,0.11740,-0.00056,-0.00011,0.06822,0.00000
18.612,-0.00216,-0.00010,0.06800,0.65980,0.05931,-0.03179,-0.74843,-0.00920,-0.00220,0.11740,-0.00056,-0.00011,0.06822,0.00000
18.623,-0.00215,-0.00010,0.06800,0.65979,0.05931,-0.03178,-0.74843,-0.00920,-0.00220,0.11740,-0.00056,-0.00011,0.06822,0.00000
22.088,-0.00244,-0.00002,0.06997,0.65871,0.06841,-0.03938,-0.74824,-0.00920,-0.00220,0.11740,-0.00088,-0.00027,0.07006,0.00000
22.098,-0.00243,-0.00002,0.06998,0.65872,0.06839,-0.03938,-0.74824,-0.00920,-0.00220,0.11740,-0.00088,-0.00027,0.07006,0.00000
22.108,-0.00243,-0.00002,0.06998,0.65872,0.06839,-0.03938,-0.74824,-0.00920,-0.00220,0.11740,-0.00088,-0.00027,0.07006,0.00000
22.118,-0.00243,-0.00002,0.06998,0.65872,0.06839,-0.03938,-0.74824,-0.00920,-0.00220,0.11740,-0.00088,-0.00027,0.07006,0.00000
22.588,-0.00264,0.00001,0.07190,0.65743,0.07756,-0.04683,-0.74805,-0.00920,-0.00220,0.11740,-0.00131,-0.00052,0.07188,0.00000
22.598,-0.00271,-0.00001,0.07186,0.65740,0.07775,-0.04696,-0.74805,-0.00920,-0.00220,0.11740,-0.00131,-0.00052,0.07188,0.00000
22.608,-0.00271,-0.00001,0.07186,0.65740,0.07775,-0.04696,-0.74805,-0.00920,-0.00220,0.11740,-0.00131,-0.00052,0.07188,0.00000
22.618,-0.00271,-0.00001,0.07186,0.65740,0.07775,-0.04696,-0.74805,-0.00920,-0.00220,0.11740,-0.00131,-0.00052,0.07188,0.00000
26.091,-0.00311,-0.00010,0.07382,0.65256,0.09024,-0.05102,-0.75061,-0.00920,-0.00220,0.11740,-0.00153,-0.00037,0.07386,0.00000
26.103,-0.00311,-0.00010,0.07383,0.65256,0.09022,-0.05101,-0.75061,-0.00920,-0.00220,0.11740,-0.00153,-0.00037,0.07386,0.00000
26.113,-0.00311,-0.00010,0.07383,0.65256,0.09022,-0.05101,-0.75061,-0.00920,-0.00220,0.11740,-0.00153,-0.00037,0.07386,0.00000
