Time,X_[ref],Y_[ref],Z_[ref],Q0_[ref],Qx_[ref],Qy_[ref],QZ_[ref],X_[tip],Y_[tip],Z_[tip],Q0_[tip],Qx_[tip],Qy_[tip],Qz_[tip]
7.34008,-116.96,-46.2821,-85.7487,0.533785,0.488369,0.525951,0.447151,-53.2557,-50.4184,-88.5574,0.667803,0.0432776,0.743079,0
7.36508,-116.961,-46.282,-85.749,0.533767,0.488404,0.525927,0.447165,-53.2577,-50.4194,-88.5582,0.667802,0.0432744,0.74308,0
7.39012,-116.962,-46.2805,-85.7477,0.533741,0.488447,0.525901,0.447178,-53.2578,-50.4221,-88.561,0.66781,0.0432756,0.743073,0
7.41501,-116.964,-46.2792,-85.7469,0.533706,0.488498,0.525878,0.447191,-53.2548,-50.4249,-88.5644,0.667814,0.0432568,0.74307,0
7.44002,-116.963,-46.2777,-85.7486,0.533661,0.488555,0.525848,0.447217,-53.2541,-50.4231,-88.5672,0.667805,0.0432457,0.743079,0
7.46495,-116.959,-46.2784,-85.7509,0.533632,0.488577,0.52583,0.447249,-53.2536,-50.422,-88.5691,0.667794,0.0432409,0.743089,0
7.48994,-116.957,-46.2781,-85.751,0.533608,0.488584,0.525821,0.447281,-53.2499,-50.4201,-88.5707,0.667792,0.0432213,0.743092,0
7.51489,-116.952,-46.2778,-85.7505,0.533578,0.488611,0.525803,0.447309,-53.2469,-50.419,-88.573,0.667787,0.0432078,0.743097,0
7.53988,-116.948,-46.2756,-85.7482,0.533557,0.488633,0.525783,0.447332,-53.2439,-50.4178,-88.5752,0.667782,0.0431943,0.743102,0
7.5649,-116.949,-46.2739,-85.7488,0.533518,0.488684,0.525766,0.447344,-53.2417,-50.4168,-88.5787,0.667778,0.0431943,0.743106,0
7.58983,-116.949,-46.2701,-85.7482,0.53347,0.488767,0.525739,0.447343,-53.2368,-50.418,-88.5838,0.667778,0.0431835,0.743107,0
7.61484,-116.947,-46.2669,-85.7492,0.533441,0.488817,0.525719,0.447347,-53.2329,-50.4151,-88.5859,0.667769,0.0431945,0.743114,0
7.63983,-116.945,-46.268,-85.7495,0.533422,0.488839,0.525709,0.447356,-53.2321,-50.4097,-88.5842,0.667752,0.0432089,0.743129,0
7.66481,-116.944,-46.2673,-85.7522,0.533412,0.488856,0.525694,0.447368,-53.2306,-50.4073,-88.5849,0.667746,0.0432143,0.743134,0
7.68974,-116.942,-46.2682,-85.7517,0.5334,0.488842,0.525694,0.447396,-53.228,-50.4068,-88.5866,0.667746,0.0431955,0.743135,0
7.71472,-116.941,-46.2661,-85.7519,0.533387,0.488827,0.525701,0.447421,-53.2249,-50.4052,-88.5892,0.667742,0.0431721,0.74314,0
7.73969,-116.937,-46.2668,-85.7524,0.53335,0.488866,0.525686,0.44744,-53.2239,-50.4024,-88.5904,0.667726,0.0431532,0.743155,0
7.76467,-116.936,-46.2667,-85.7536,0.533332,0.488887,0.525677,0.447449,-53.2236,-50.3995,-88.591,0.667712,0.043148,0.743168,0
7.78969,-116.934,-46.2675,-85.754,0.533312,0.488911,0.525667,0.447458,-53.223,-50.3993,-88.592,0.667704,0.0431445,0.743175,0
7.8146,-116.931,-46.2662,-85.7534,0.533307,0.488929,0.525656,0.447457,-53.2224,-50.3984,-88.5917,0.667697,0.0431484,0.743182,0
7.83965,-116.929,-46.2672,-85.7539,0.533311,0.488916,0.525656,0.447466,-53.2231,-50.397,-88.5916,0.66769,0.0431538,0.743188,0
7.86458,-116.928,-46.2679,-85.7548,0.53332,0.488876,0.525671,0.447481,-53.2211,-50.398,-88.5932,0.667689,0.0431322,0.74319,0
7.88954,-116.926,-46.2651,-85.756,0.533306,0.488876,0.52567,0.447499,-53.2188,-50.3982,-88.5963,0.667687,0.0431131,0.743193,0
7.91451,-116.925,-46.2627,-85.7542,0.533285,0.488901,0.525667,0.447502,-53.2178,-50.3972,-88.5995,0.667678,0.0431082,0.743201,0
7.93955,-116.921,-46.2621,-85.7542,0.533279,0.488903,0.525662,0.447512,-53.2165,-50.3965,-88.6003,0.667669,0.0431153,0.743208,0
7.96448,-116.918,-46.2607,-85.7541,0.533287,0.488908,0.525654,0.447507,-53.2173,-50.3942,-88.599,0.667657,0.0431408,0.743217,0
7.98945,-116.917,-46.2581,-85.7533,0.533288,0.48893,0.525641,0.447496,-53.2174,-50.3942,-88.5986,0.667653,0.0431609,0.74322,0
8.01445,-116.917,-46.259,-85.7535,0.533275,0.488957,0.525633,0.447492,-53.2162,-50.3961,-88.5997,0.667652,0.0431693,0.743221,0
8.03941,-116.915,-46.2591,-85.7536,0.533263,0.488955,0.525632,0.44751,-53.2145,-50.3957,-88.6007,0.667648,0.0431721,0.743224,0
8.06438,-116.914,-46.2608,-85.7531,0.533247,0.48896,0.525633,0.447522,-53.2149,-50.3921,-88.5992,0.66763,0.0431796,0.74324,0
8.08936,-116.912,-46.2598,-85.752,0.533249,0.488947,0.525635,0.447531,-53.2147,-50.3891,-88.5961,0.667618,0.0431834,0.743251,0
8.11433,-116.909,-46.2591,-85.7511,0.533246,0.488964,0.525621,0.447532,-53.2155,-50.3902,-88.5965,0.667613,0.0431919,0.743255,0
8.13933,-116.907,-46.2604,-85.751,0.533245,0.488961,0.525618,0.447541,-53.215,-50.3921,-88.5965,0.667612,0.0431866,0.743255,0
8.16431,-116.906,-46.2607,-85.7518,0.533265,0.488925,0.525627,0.447547,-53.2145,-50.394,-88.5965,0.667612,0.0431811,0.743256,0
8.18928,-116.91,-46.2624,-85.7519,0.533264,0.488922,0.525634,0.447543,-53.2172,-50.3919,-88.5924,0.667606,0.0431849,0.743261,0
8.21424,-116.912,-46.2652,-85.7504,0.533249,0.488947,0.525633,0.447534,-53.2184,-50.3921,-88.5907,0.667604,0.0431806,0.743263,0
8.23922,-116.916,-46.2663,-85.7499,0.533252,0.488943,0.525642,0.447524,-53.2193,-50.3936,-88.5897,0.667608,0.0431752,0.74326,0
8.26421,-116.918,-46.2662,-85.7501,0.533268,0.488922,0.525648,0.447521,-53.2217,-50.3944,-88.5886,0.66761,0.0431726,0.743258,0
8.28921,-116.921,-46.2666,-85.7495,0.533278,0.488919,0.525649,0.447512,-53.2256,-50.3951,-88.5873,0.667609,0.0431598,0.74326,0
8.31415,-116.922,-46.2675,-85.7493,0.533291,0.488893,0.525653,0.447518,-53.227,-50.3974,-88.587,0.667621,0.0431357,0.743251,0
8.33912,-116.924,-46.2709,-85.7491,0.533271,0.488896,0.525655,0.447538,-53.228,-50.3991,-88.5869,0.667626,0.0431036,0.743248,0
8.36411,-116.927,-46.2734,-85.7474,0.533248,0.488915,0.525656,0.447543,-53.2288,-50.3987,-88.5863,0.667625,0.0430731,0.743251,0
8.38912,-116.929,-46.2738,-85.7473,0.533242,0.488905,0.525667,0.447548,-53.2302,-50.3966,-88.5843,0.667621,0.0430587,0.743255,0
8.41413,-116.927,-46.276,-85.7463,0.533229,0.488922,0.525657,0.447557,-53.2315,-50.3954,-88.5824,0.66762,0.0430485,0.743256,0
8.43904,-116.928,-46.2783,-85.7446,0.533213,0.488946,0.525648,0.44756,-53.2339,-50.3946,-88.5811,0.667617,0.0430491,0.74326,0
8.46399,-116.927,-46.2802,-85.7446,0.533207,0.488952,0.525642,0.447568,-53.2345,-50.3939,-88.5799,0.667615,0.0430512,0.743261,0
8.48899,-116.927,-46.2809,-85.7444,0.53321,0.488942,0.525645,0.447572,-53.2337,-50.3938,-88.5807,0.667618,0.0430602,0.743258,0
8.51401,-116.925,-46.2787,-85.7449,0.533226,0.488934,0.525651,0.447555,-53.2321,-50.3936,-88.5803,0.667622,0.0430778,0.743253,0
8.53892,-116.925,-46.279,-85.7464,0.533239,0.488922,0.525662,0.44754,-53.2286,-50.3968,-88.5812,0.667638,0.0430875,0.743238,0
8.56395,-116.925,-46.2791,-85.7487,0.53326,0.488899,0.525667,0.447534,-53.2279,-50.3996,-88.5823,0.667648,0.0431028,0.743228,0
8.5889,-116.929,-46.279,-85.7495,0.53327,0.488899,0.525671,0.447516,-53.228,-50.401,-88.5828,0.667657,0.0431185,0.74322,0
8.61386,-116.931,-46.2793,-85.7493,0.533278,0.488899,0.525674,0.447504,-53.2288,-50.4008,-88.5821,0.66766,0.0431326,0.743216,0
8.63885,-116.933,-46.2795,-85.7492,0.533278,0.488905,0.525674,0.447496,-53.2287,-50.4,-88.582,0.667663,0.0431361,0.743212,0
8.66381,-116.937,-46.279,-85.7473,0.533278,0.488915,0.52568,0.447479,-53.2288,-50.4012,-88.5832,0.667668,0.0431393,0.743208,0
8.68879,-116.941,-46.2781,-85.7475,0.533288,0.4889,0.525692,0.447469,-53.2297,-50.4002,-88.5828,0.66767,0.0431488,0.743206,0
8.71379,-116.943,-46.2766,-85.7493,0.533309,0.48887,0.525703,0.447464,-53.2318,-50.3999,-88.5822,0.667673,0.0431582,0.743203,0
8.73874,-116.942,-46.2757,-85.7506,0.533306,0.488869,0.525697,0.447477,-53.233,-50.3991,-88.5803,0.667674,0.0431518,0.743202,0
8.76375,-116.942,-46.2776,-85.7477,0.533282,0.488894,0.525683,0.447493,-53.2339,-50.3992,-88.5809,0.667676,0.0431326,0.743201,0
8.78871,-116.94,-46.2789,-85.7476,0.533268,0.488902,0.525677,0.447508,-53.2343,-50.3964,-88.5798,0.667671,0.0431198,0.743207,0
8.81366,-116.94,-46.279,-85.7468,0.533257,0.488904,0.525677,0.44752,-53.2344,-50.3952,-88.5796,0.667669,0.0431084,0.743209,0
8.83862,-116.941,-46.2791,-85.7459,0.533249,0.488923,0.52567,0.447517,-53.236,-50.3939,-88.579,0.667667,0.0431052,0.743211,0
8.86361,-116.94,-46.2799,-85.7462,0.533235,0.488955,0.52565,0.447522,-53.2376,-50.3938,-88.5789,0.667672,0.04311,0.743207,0
8.88859,-116.941,-46.2814,-85.7461,0.533226,0.488975,0.525637,0.447526,-53.2391,-50.396,-88.5788,0.667678,0.0431041,0.743201,0
8.91357,-116.941,-46.2837,-85.7464,0.533217,0.48897,0.525636,0.447543,-53.2401,-50.3951,-88.5776,0.667678,0.0430885,0.743203,0
8.93857,-116.942,-46.2848,-85.7458,0.533197,0.488976,0.525635,0.447562,-53.2378,-50.3975,-88.5795,0.667686,0.0430483,0.743197,0
8.96353,-116.939,-46.2832,-85.7441,0.533178,0.488989,0.525627,0.44758,-53.2352,-50.3986,-88.5816,0.667692,0.043008,0.743194,0
8.9885,-116.939,-46.2852,-85.7433,0.533176,0.488975,0.525635,0.447589,-53.2346,-50.4014,-88.5844,0.667697,0.0429735,0.743192,0
9.0135,-116.941,-46.2871,-85.7451,0.533183,0.488946,0.525645,0.4476,-53.237,-50.4007,-88.584,0.667695,0.042968,0.743194,0
9.03846,-116.947,-46.2868,-85.7439,0.533178,0.488943,0.525652,0.447601,-53.2397,-50.4004,-88.5835,0.667694,0.0429617,0.743195,0
9.06347,-116.952,-46.2882,-85.742,0.533171,0.488944,0.525661,0.447597,-53.2417,-50.3999,-88.5833,0.667692,0.042951,0.743198,0
9.08836,-116.952,-46.2882,-85.7434,0.533159,0.488945,0.525662,0.44761,-53.2411,-50.4009,-88.5841,0.667691,0.042928,0.7432,0
9.11336,-116.951,-46.2887,-85.7439,0.533164,0.488916,0.525674,0.447621,-53.2415,-50.3997,-88.5836,0.667687,0.0429151,0.743204,0
9.13833,-116.951,-46.2905,-85.7428,0.533159,0.488891,0.525686,0.44764,-53.2423,-50.3979,-88.5822,0.66768,0.0428983,0.743212,0
9.1633,-116.952,-46.2901,-85.7428,0.533149,0.488913,0.525673,0.447642,-53.243,-50.3976,-88.5819,0.667682,0.0428938,0.74321,0
9.18828,-116.95,-46.289,-85.7432,0.533162,0.488903,0.52567,0.447641,-53.2437,-50.3973,-88.5816,0.667684,0.0428893,0.743208,0
9.21326,-116.953,-46.2907,-85.7429,0.53316,0.488904,0.525673,0.44764,-53.2457,-50.3967,-88.5798,0.667681,0.0428879,0.743211,0
9.23821,-116.955,-46.2915,-85.7441,0.533143,0.488917,0.525671,0.447648,-53.2459,-50.3971,-88.5798,0.667684,0.0428728,0.74321,0
9.26321,-116.953,-46.2909,-85.742,0.533133,0.488919,0.525668,0.44766,-53.2461,-50.3974,-88.5798,0.667687,0.042858,0.743208,0
9.28817,-116.95,-46.2908,-85.7402,0.533128,0.488921,0.525663,0.447671,-53.2441,-50.3993,-88.5808,0.667691,0.0428282,0.743205,0
9.31317,-116.944,-46.2897,-85.7388,0.533127,0.488922,0.525648,0.447691,-53.2436,-50.3952,-88.5764,0.667691,0.0427995,0.743207,0
9.33818,-116.944,-46.2914,-85.7368,0.533113,0.488932,0.525641,0.447702,-53.2436,-50.3889,-88.5714,0.667701,0.0427318,0.743202,0
9.36314,-116.943,-46.2903,-85.7347,0.533099,0.488958,0.525621,0.447714,-53.2319,-50.3953,-88.5861,0.667749,0.0425884,0.743167,0
9.38815,-116.943,-46.2875,-85.7357,0.533104,0.488952,0.525613,0.447725,-53.1449,-50.3254,-88.7231,0.667432,0.0397538,0.743609,0
