t,x,y,z,qw,qx,qy,qz,x_r,y_r,z_r,x_sim,y_sim,z_sim,ctrl_time
13.225,0.00090,-0.00156,0.06049,0.65078,0.01767,0.02567,-0.75863,0.00220,-0.01320,0.13620,0.00034,-0.00095,0.05999,0.00000
13.236,0.00089,-0.00156,0.06049,0.65078,0.01764,0.02571,-0.75863,0.00220,-0.01320,0.13620,0.00034,-0.00095,0.05999,0.00000
13.246,0.00089,-0.00156,0.06049,0.65078,0.01764,0.02571,-0.75863,0.00220,-0.01320,0.13620,0.00034,-0.00095,0.05999,0.00000
13.256,0.00088,-0.00156,0.06049,0.65078,0.01762,0.02572,-0.75863,0.00220,-0.01320,0.13620,0.00034,-0.00095,0.05999,0.00000
14.125,0.00102,-0.00175,0.06196,0.64647,0.02035,0.03114,-0.76203,0.00220,-0.01320,0.13620,0.00041,-0.00105,0.06198,0.00000
14.137,0.00102,-0.00175,0.06195,0.64646,0.02037,0.03115,-0.76204,0.00220,-0.01320,0.13620,0.00041,-0.00105,0.06198,0.00000
14.147,0.00102,-0.00175,0.06195,0.64646,0.02037,0.03115,-0.76204,0.00220,-0.01320,0.13620,0.00041,-0.00105,0.06198,0.00000
14.157,0.00102,-0.00174,0.06195,0.64645,0.02039,0.03114,-0.76205,0.00220,-0.01320,0.13620,0.00041,-0.00105,0.06198,0.00000
14.628,0.00151,-0.00206,0.06413,0.63909,0.02116,0.04381,-0.76759,0.00220,-0.01320,0.13620,0.00055,-0.00127,0.06409,0.00000
14.638,0.00148,-0.00205,0.06414,0.63906,0.02102,0.04399,-0.76761,0.00220,-0.01320,0.13620,0.00055,-0.00127,0.06409,0.00000
14.648,0.00148,-0.00205,0.06414,0.63906,0.02102,0.04399,-0.76761,0.00220,-0.01320,0.13620,0.00055,-0.00127,0.06409,0.00000
14.658,0.00145,-0.00204,0.06408,0.63916,0.02110,0.04375,-0.76754,0.00220,-0.01320,0.13620,0.00055,-0.00127,0.06409,0.00000
15.125,0.00155,-0.00232,0.06610,0.63162,0.02625,0.05243,-0.77305,0.00220,-0.01320,0.13620,0.00071,-0.00152,0.06601,0.00000
15.135,0.00157,-0.00231,0.06609,0.63160,0.02636,0.05238,-0.77307,0.00220,-0.01320,0.13620,0.00071,-0.00152,0.06601,0.00000
15.147,0.00157,-0.00231,0.06609,0.63160,0.02636,0.05238,-0.77307,0.00220,-0.01320,0.13620,0.00071,-0.00152,0.06601,0.00000
15.157,0.00162,-0.00233,0.06609,0.63166,0.02639,0.05225,-0.77303,0.00220,-0.01320,0.13620,0.00071,-0.00152,0.06601,0.00000
15.628,0.00170,-0.00263,0.06811,0.62288,0.03246,0.06203,-0.77918,0.00220,-0.01320,0.13620,0.00083,-0.00179,0.06799,0.00000
15.638,0.00171,-0.00265,0.06809,0.62294,0.03252,0.06189,-0.77914,0.00220,-0.01320,0.13620,0.00083,-0.00179,0.06799,0.00000
15.648,0.00171,-0.00265,0.06809,0.62294,0.03252,0.06189,-0.77914,0.00220,-0.01320,0.13620,0.00083,-0.00179,0.06799,0.00000
15.658,0.00169,-0.00264,0.06805,0.62314,0.03238,0.06167,-0.77901,0.00220,-0.01320,0.13620,0.00083,-0.00179,0.06799,0.00000
16.525,0.00183,-0.00300,0.07007,0.61327,0.03815,0.07328,-0.78554,0.00220,-0.01320,0.13620,0.00094,-0.00212,0.06996,0.00000
16.535,0.00183,-0.00300,0.07007,0.61327,0.03817,0.07327,-0.78554,0.00220,-0.01320,0.13620,0.00094,-0.00212,0.06996,0.00000
16.545,0.00183,-0.00300,0.07007,0.61327,0.03817,0.07327,-0.78554,0.00220,-0.01320,0.13620,0.00094,-0.00212,0.06996,0.00000
16.557,0.00183,-0.00300,0.07007,0.61327,0.03816,0.07328,-0.78554,0.00220,-0.01320,0.13620,0.00094,-0.00212,0.06996,0.00000
17.425,0.00199,-0.00338,0.07206,0.60347,0.04290,0.08538,-0.79164,0.00220,-0.01320,0.13620,0.00106,-0.00251,0.07199,0.00000
17.436,0.00198,-0.00338,0.07206,0.60347,0.04290,0.08539,-0.79164,0.00220,-0.01320,0.13620,0.00106,-0.00251,0.07199,0.00000
