beta1,beta2,beta3,alpha1,alpha2,alpha3,fx,fy,fz,pos_error_norm
-0.105584,-0.070596,0.000000,-2.090752,-0.371589,0.000000,0.045967,0.163968,-0.428106,0.027121
-0.094821,-0.062587,0.000000,4.553823,1.594525,0.000000,-0.109261,0.230813,0.225359,0.018741
-0.094168,-0.054977,0.000000,-4.172241,-2.423474,0.000000,-0.321091,0.166795,0.144616,0.028952
-0.093852,-0.057009,0.000000,-3.747899,-3.627986,0.000000,-0.062300,-0.456734,-0.050133,0.038678
-0.099487,-0.053973,0.000000,0.382706,2.243555,0.000000,-0.059212,0.024533,-0.417569,0.028784
-0.088354,-0.043336,0.000000,-3.178097,-0.335545,0.000000,-0.103073,-0.277871,-0.248586,0.047851
-0.119422,-0.055331,0.000000,1.684386,4.644369,0.000000,0.326310,-0.009463,-0.029328,0.010943
-0.129770,-0.054307,0.000000,-0.390426,0.610631,0.000000,0.015395,0.149918,0.120707,0.022213
-0.091073,-0.056841,0.000000,-0.147590,0.275732,0.000000,0.009980,-0.188332,-0.410664,0.058594
-0.123169,-0.071299,0.000000,-5.315988,-2.498836,0.000000,-0.425539,0.062508,0.184404,0.019700
-0.118108,-0.034630,0.000000,-2.664841,-1.245745,0.000000,-0.073492,0.041512,-0.313124,0.014468
-0.077396,-0.042674,0.000000,1.762641,-0.518471,0.000000,-0.263924,-0.195988,0.020990,0.054640
-0.127340,-0.070213,0.000000,-2.793612,-3.079898,0.000000,0.311700,0.285995,-0.202200,0.021842
-0.081858,-0.046787,0.000000,0.098499,-1.505545,0.000000,-0.039820,0.091442,0.067218,0.036180
-0.112842,-0.060675,0.000000,0.633123,1.243785,0.000000,-0.018508,0.122057,-0.117983,0.019415
-0.097914,-0.042319,0.000000,-7.122211,-4.240640,0.000000,-0.259242,-0.215647,0.330592,0.020500
-0.119867,-0.044192,0.000000,-3.784850,-3.383406,0.000000,0.048577,0.306592,0.186658,0.011613
-0.086373,-0.048785,0.000000,3.248867,2.683494,0.000000,0.105840,0.032481,0.342739,0.027959
-0.109371,-0.044762,0.000000,-4.350290,-4.149899,0.000000,0.334944,0.087453,0.032538,0.020530
-0.096032,-0.047097,0.000000,1.332912,1.202204,0.000000,0.041711,-0.268362,-0.183107,0.040803
-0.133937,-0.066365,0.000000,-5.682747,-2.827508,0.000000,-0.155522,-0.352207,0.213870,0.024107
-0.110361,-0.044829,0.000000,7.253921,4.417728,0.000000,-0.061529,-0.124972,-0.457058,0.019034
-0.120989,-0.037652,0.000000,1.151939,3.414320,0.000000,0.363589,0.123849,-0.318440,0.012881
-0.099849,-0.062159,0.000000,-0.727696,-2.042644,0.000000,-0.119965,-0.378346,-0.242023,0.045385
-0.143994,-0.069625,0.000000,5.525944,3.584483,0.000000,-0.265669,-0.080807,0.114992,0.032792
