t,x_r,y_r,z_r,x_sim,y_sim,z_sim,f_x,f_y,f_z,f_mag,ctrl_time
0.011,0.000000,0.000000,0.000000,-0.000276,-0.023689,0.126653,0.014315,0.229541,-0.343844,0.413670,0.000000
0.036,0.000000,0.000000,0.000000,-0.000278,-0.023687,0.126654,0.014313,0.229561,-0.343856,0.413690,0.000000
0.061,-0.015590,0.015589,0.130000,-0.000278,-0.023687,0.126654,0.014308,0.229590,-0.343863,0.413712,0.000000
0.086,-0.015623,0.015622,0.130000,-0.000285,-0.023681,0.126657,0.014304,0.229629,-0.343867,0.413738,66.705000
0.111,-0.015656,0.015655,0.130000,-0.000285,-0.023681,0.126657,0.014301,0.229675,-0.343871,0.413766,21.672000
0.136,-0.015723,0.015721,0.130000,-0.000290,-0.023673,0.126661,0.014301,0.229723,-0.343876,0.413797,21.832000
0.161,-0.015757,0.015753,0.130000,-0.000290,-0.023673,0.126661,0.014303,0.229767,-0.343887,0.413830,19.233000
0.186,-0.015790,0.015786,0.130000,-0.000291,-0.023669,0.126662,0.014307,0.229803,-0.343904,0.413865,21.196000
0.211,-0.015824,0.015818,0.130000,-0.000290,-0.023666,0.126663,0.014313,0.229830,-0.343925,0.413898,20.250000
0.236,-0.015858,0.015851,0.130000,-0.000285,-0.023663,0.126664,0.014321,0.229848,-0.343945,0.413924,20.440000
0.261,-0.015892,0.015883,0.130000,-0.000282,-0.023663,0.126664,0.014328,0.229857,-0.343964,0.413945,21.887000
0.286,-0.015926,0.015915,0.130000,-0.000282,-0.023663,0.126664,0.014334,0.229858,-0.343985,0.413964,23.913000
0.311,-0.015960,0.015947,0.130000,-0.000280,-0.023664,0.126664,0.014339,0.229856,-0.344006,0.413980,20.757000
0.336,-0.015994,0.015978,0.130000,-0.000276,-0.023666,0.126663,0.014342,0.229854,-0.344022,0.413992,22.472000
0.361,-0.016028,0.016010,0.130000,-0.000275,-0.023666,0.126662,0.014344,0.229856,-0.344033,0.414002,23.381000
0.386,-0.016062,0.016042,0.130000,-0.000275,-0.023666,0.126662,0.014343,0.229863,-0.344037,0.414010,25.437000
