t,x_r,y_r,z_r,x_sim,y_sim,z_sim,f_x,f_y,f_z,f_mag,ctrl_time
0.025,0.000000,0.000000,0.000000,-0.021028,-0.000303,0.130479,0.121180,0.001544,-0.272607,0.298331,0.000000
0.050,-0.018500,-0.026915,0.130000,-0.021031,-0.000305,0.130478,0.121129,0.001547,-0.272495,0.298208,0.000000
0.075,-0.018500,-0.026915,0.130000,-0.021033,-0.000306,0.130478,0.121129,0.001547,-0.272495,0.298208,0.000000
0.100,-0.018500,-0.026915,0.130000,-0.021035,-0.000308,0.130478,0.121105,0.001546,-0.272436,0.298144,0.000000
0.125,-0.018500,-0.026915,0.130000,-0.021036,-0.000308,0.130478,0.121087,0.001548,-0.272392,0.298097,0.000000
0.150,-0.018500,-0.026915,0.130000,-0.021036,-0.000308,0.130478,0.121066,0.001551,-0.272333,0.298035,0.000000
0.175,-0.018500,-0.026915,0.130000,-0.021036,-0.000308,0.130478,0.121066,0.001551,-0.272333,0.298035,0.000000
0.200,-0.018500,-0.026915,0.130000,-0.021036,-0.000307,0.130478,0.121056,0.001556,-0.272313,0.298012,0.000000
0.225,-0.018500,-0.026915,0.130000,-0.021037,-0.000305,0.130478,0.121050,0.001572,-0.272319,0.298015,0.000000
0.250,-0.018500,-0.026915,0.130000,-0.021036,-0.000303,0.130478,0.121050,0.001572,-0.272319,0.298015,0.000000
0.275,-0.018500,-0.026915,0.130000,-0.021034,-0.000302,0.130479,0.121055,0.001574,-0.272323,0.298021,0.000000
0.300,-0.018500,-0.026915,0.130000,-0.021033,-0.000300,0.130479,0.121056,0.001577,-0.272320,0.298019,0.000000
0.325,-0.018500,-0.026915,0.130000,-0.021033,-0.000300,0.130479,0.121062,0.001571,-0.272324,0.298025,0.000000
0.350,-0.018500,-0.026915,0.130000,-0.021032,-0.000301,0.130479,0.121062,0.001571,-0.272324,0.298025,0.000000
0.375,-0.018500,-0.026915,0.130000,-0.021030,-0.000303,0.130480,0.121077,0.001556,-0.272323,0.298030,0.000000
0.400,-0.018500,-0.026830,0.130000,-0.021028,-0.000304,0.130481,0.121089,0.001544,-0.272318,0.298030,59.506000
0.425,-0.018500,-0.026660,0.130000,-0.021024,-0.000303,0.130483,0.121121,0.001537,-0.272326,0.298051,18.646000
0.450,-0.018500,-0.026575,0.130000,-0.021019,-0.000300,0.130484,0.121121,0.001537,-0.272326,0.298051,17.081000
0.475,-0.018500,-0.026490,0.130000,-0.021015,-0.000300,0.130486,0.121140,0.001527,-0.272327,0.298059,17.746000
0.500,-0.018500,-0.026405,0.130000,-0.021012,-0.000301,0.130487,0.121153,0.001514,-0.272321,0.298058,17.838000
0.525,-0.018500,-0.026320,0.130000,-0.021011,-0.000303,0.130488,0.121163,0.001503,-0.272320,0.298062,27.344000
0.550,-0.018500,-0.026235,0.130000,-0.021009,-0.000303,0.130488,0.121189,0.001495,-0.272361,0.298110,24.116000
0.575,-0.018500,-0.026150,0.130000,-0.021007,-0.000302,0.130489,0.121200,0.001500,-0.272398,0.298148,26.910000
0.600,-0.018500,-0.026150,0.130000,-0.021007,-0.000301,0.130488,0.121200,0.001500,-0.272398,0.298148,26.910000
0.625,-0.018500,-0.026065,0.130000,-0.021008,-0.000299,0.130488,0.121206,0.001508,-0.272440,0.298189,28.757000
0.650,-0.018500,-0.025980,0.130000,-0.021009,-0.000299,0.130487,0.121225,0.001507,-0.272523,0.298273,28.170000
0.675,-0.018500,-0.025895,0.130000,-0.021010,-0.000301,0.130486,0.121225,0.001507,-0.272523,0.298273,24.714000
0.700,-0.018500,-0.025810,0.130000,-0.021012,-0.000303,0.130485,0.121242,0.001496,-0.272575,0.298327,24.408000
0.725,-0.018500,-0.025725,0.130000,-0.021013,-0.000304,0.130485,0.121249,0.001496,-0.272603,0.298355,26.966000
0.750,-0.018500,-0.025640,0.130000,-0.021013,-0.000305,0.130485,0.121249,0.001496,-0.272603,0.298355,32.237000
0.775,-0.018500,-0.025555,0.130000,-0.021014,-0.000305,0.130484,0.121255,0.001498,-0.272632,0.298384,27.955000
0.800,-0.018500,-0.025470,0.130000,-0.021016,-0.000306,0.130483,0.121256,0.001498,-0.272654,0.298405,27.926000
0.825,-0.018500,-0.025385,0.130000,-0.021018,-0.000308,0.130482,0.121255,0.001494,-0.272668,0.298417,27.777000
0.850,-0.018500,-0.025385,0.130000,-0.021020,-0.000311,0.130482,0.121256,0.001486,-0.272677,0.298426,27.777000
0.875,-0.018500,-0.025300,0.130000,-0.021021,-0.000313,0.130482,0.121263,0.001478,-0.272684,0.298435,27.347000
0.900,-0.018500,-0.025215,0.130000,-0.021019,-0.000312,0.130482,0.121277,0.001481,-0.272702,0.298458,27.645000
0.925,-0.018500,-0.025130,0.130000,-0.021017,-0.000310,0.130483,0.121279,0.001490,-0.272725,0.298479,25.658000
0.950,-0.018500,-0.025045,0.130000,-0.021017,-0.000308,0.130482,0.121279,0.001498,-0.272746,0.298499,27.012000
0.975,-0.018500,-0.024960,0.130000,-0.021018,-0.000307,0.130482,0.121279,0.001498,-0.272746,0.298499,27.362000
1.000,-0.018500,-0.024875,0.130000,-0.021018,-0.000305,0.130482,0.121279,0.001503,-0.272752,0.298503,26.817000
1.025,-0.018500,-0.024790,0.130000,-0.021017,-0.000305,0.130482,0.121279,0.001504,-0.272750,0.298502,25.969000
1.050,-0.018500,-0.024705,0.130000,-0.021016,-0.000304,0.130482,0.121283,0.001505,-0.272757,0.298510,25.552000
1.075,-0.018500,-0.024620,0.130000,-0.021016,-0.000303,0.130482,0.121286,0.001510,-0.272772,0.298525,23.664000
1.100,-0.018500,-0.024535,0.130000,-0.021017,-0.000300,0.130482,0.121283,0.001521,-0.272788,0.298538,26.507000
1.125,-0.018500,-0.024450,0.130000,-0.021019,-0.000298,0.130480,0.121270,0.001537,-0.272800,0.298545,27.921000
1.150,-0.018500,-0.024365,0.130000,-0.021024,-0.000297,0.130479,0.121249,0.001555,-0.272804,0.298539,27.591000
1.175,-0.018500,-0.024280,0.130000,-0.021028,-0.000296,0.130477,0.121195,0.001595,-0.272778,0.298494,27.902000
1.200,-0.018500,-0.024280,0.130000,-0.021031,-0.000293,0.130476,0.121195,0.001595,-0.272778,0.298494,25.848000
1.225,-0.018500,-0.024195,0.130000,-0.021033,-0.000289,0.130475,0.121174,0.001618,-0.272768,0.298477,25.848000
1.250,-0.018500,-0.024025,0.130000,-0.021035,-0.000285,0.130474,0.121140,0.001661,-0.272754,0.298450,23.618000
1.275,-0.018500,-0.023940,0.130000,-0.021035,-0.000281,0.130474,0.121140,0.001661,-0.272754,0.298450,20.483000
1.300,-0.018500,-0.023855,0.130000,-0.021034,-0.000276,0.130474,0.121128,0.001677,-0.272733,0.298427,19.265000
1.325,-0.018500,-0.023770,0.130000,-0.021032,-0.000274,0.130475,0.121106,0.001674,-0.272623,0.298317,18.524000
1.350,-0.018500,-0.023685,0.130000,-0.021030,-0.000275,0.130476,0.121106,0.001674,-0.272623,0.298317,18.114000
1.375,-0.018500,-0.023600,0.130000,-0.021028,-0.000277,0.130478,0.121094,0.001659,-0.272538,0.298234,17.075000
1.400,-0.018500,-0.023515,0.130000,-0.021024,-0.000280,0.130480,0.121094,0.001638,-0.272462,0.298165,18.138000
