t,x_r,y_r,z_r,x_sim,y_sim,z_sim,f_x,f_y,f_z,f_mag,ctrl_time
0.018,0.000000,0.000000,0.000000,-0.003704,-0.019782,0.119508,0.057009,0.264117,-0.480385,0.551160,0.000000
0.043,0.001259,-0.011742,0.130000,-0.003700,-0.019783,0.119508,0.057015,0.264095,-0.480368,0.551135,0.000000
0.068,0.001319,-0.011683,0.130000,-0.003696,-0.019784,0.119507,0.057016,0.264070,-0.480348,0.551106,58.299000
0.093,0.001379,-0.011623,0.130000,-0.003694,-0.019786,0.119507,0.057013,0.264053,-0.480329,0.551081,16.466000
0.118,0.001439,-0.011563,0.130000,-0.003694,-0.019787,0.119506,0.057007,0.264050,-0.480311,0.551064,16.854000
0.143,0.001499,-0.011504,0.130000,-0.003696,-0.019786,0.119507,0.057002,0.264060,-0.480295,0.551054,21.687000
0.168,0.001559,-0.011444,0.130000,-0.003698,-0.019785,0.119507,0.057000,0.264074,-0.480281,0.551048,20.595000
0.193,0.001619,-0.011385,0.130000,-0.003700,-0.019783,0.119508,0.057002,0.264085,-0.480270,0.551044,20.565000
0.218,0.001679,-0.011325,0.130000,-0.003700,-0.019782,0.119508,0.057005,0.264090,-0.480259,0.551037,20.509000
0.243,0.001738,-0.011266,0.130000,-0.003699,-0.019781,0.119509,0.057006,0.264090,-0.480250,0.551030,21.233000
0.268,0.001798,-0.011207,0.130000,-0.003699,-0.019781,0.119509,0.057005,0.264089,-0.480245,0.551025,23.319000
0.293,0.001858,-0.011147,0.130000,-0.003699,-0.019781,0.119509,0.057002,0.264090,-0.480247,0.551026,22.664000
0.318,0.001918,-0.011088,0.130000,-0.003700,-0.019781,0.119509,0.057001,0.264091,-0.480255,0.551034,21.174000
0.343,0.001978,-0.011029,0.130000,-0.003701,-0.019781,0.119509,0.056998,0.264094,-0.480271,0.551048,20.708000
0.368,0.002038,-0.010970,0.130000,-0.003702,-0.019781,0.119509,0.056996,0.264097,-0.480295,0.551070,20.582000
0.393,0.002097,-0.010911,0.130000,-0.003703,-0.019781,0.119508,0.056996,0.264100,-0.480326,0.551099,20.894000
0.418,0.002157,-0.010852,0.130000,-0.003704,-0.019782,0.119508,0.056995,0.264105,-0.480361,0.551132,21.054000
0.443,0.002217,-0.010793,0.130000,-0.003704,-0.019783,0.119507,0.056994,0.264110,-0.480396,0.551165,21.302000
0.468,0.002277,-0.010734,0.130000,-0.003705,-0.019783,0.119507,0.056993,0.264111,-0.480433,0.551198,20.195000
0.493,0.002336,-0.010675,0.130000,-0.003706,-0.019784,0.119506,0.056991,0.264109,-0.480467,0.551226,20.619000
0.518,0.002396,-0.010616,0.130000,-0.003707,-0.019785,0.119506,0.056989,0.264107,-0.480497,0.551251,22.154000
0.543,0.002456,-0.010557,0.130000,-0.003708,-0.019786,0.119505,0.056985,0.264111,-0.480521,0.551274,21.070000
0.568,0.002515,-0.010498,0.130000,-0.003710,-0.019787,0.119505,0.056980,0.264123,-0.480540,0.551295,20.408000
0.593,0.002575,-0.010440,0.130000,-0.003713,-0.019786,0.119505,0.056976,0.264139,-0.480549,0.551311,20.960000
0.618,0.002635,-0.010381,0.130000,-0.003716,-0.019785,0.119505,0.056974,0.264152,-0.480550,0.551317,22.710000
0.643,0.002694,-0.010323,0.130000,-0.003717,-0.019783,0.119506,0.056977,0.264155,-0.480545,0.551315,21.482000
0.668,0.002754,-0.010264,0.130000,-0.003716,-0.019783,0.119506,0.056981,0.264146,-0.480538,0.551305,28.032000
0.693,0.002814,-0.010206,0.130000,-0.003714,-0.019784,0.119506,0.056985,0.264131,-0.480530,0.551291,26.196000
0.718,0.002873,-0.010148,0.130000,-0.003711,-0.019785,0.119505,0.056985,0.264121,-0.480519,0.551277,26.326000
0.743,0.002873,-0.010148,0.130000,-0.003711,-0.019786,0.119505,0.056981,0.264123,-0.480507,0.551266,26.326000
