Targ_X,Targ_Y,Targ_Z, Phan_Tool_X, Phan_Tool_Y, Phan_Tool_Z, Base_Tool_X, Base_Tool_Y, Base_Tool_Z
0.0292966,-0.0538209,0.196799,-0.00673656,-0.0492085,0.187177,-0.0134617,-0.0133352,0.118566
0.0292966,-0.0538209,0.196799,-0.00345112,-0.0470964,0.184839,-0.0150977,-0.0101998,0.115957
0.0292966,-0.0538209,0.196799,-0.00615467,-0.0498185,0.187882,-0.0126694,-0.0137111,0.117886
0.0292966,-0.0538209,0.196799,-0.0090541,-0.0472426,0.1837,-0.0176516,-0.0123258,0.120604
0.0292966,-0.0538209,0.196799,-0.00628742,-0.0474022,0.184589,-0.0160263,-0.0115324,0.118296
0.0292966,-0.0538209,0.196799,-0.00831824,-0.0470358,0.183702,-0.0169702,-0.0124189,0.120027
0.0292966,-0.0538209,0.196799,-0.0081113,-0.0452569,0.182053,-0.0192032,-0.0102147,0.120158
0.0292966,-0.0538209,0.196799,-0.00465832,-0.0453537,0.183054,-0.0173648,-0.00890115,0.117417
0.0292966,-0.0538209,0.196799,-0.00751707,-0.0471193,0.184032,-0.0166167,-0.0120022,0.119369
0.0292966,-0.0538209,0.196799,-0.00693281,-0.051202,0.190862,-0.00984641,-0.0153071,0.118684
0.0292966,-0.0538209,0.196799,-0.00525147,-0.0517238,0.192262,-0.00790611,-0.0152311,0.117324
0.0292966,-0.0538209,0.196799,-0.00718809,-0.0511404,0.190189,-0.0105434,-0.0153067,0.118817
0.0292966,-0.0538209,0.196799,-0.00378055,-0.0445325,0.18292,-0.0170962,-0.00813549,0.116881
0.0292966,-0.0538209,0.196799,-0.00649263,-0.0495566,0.187993,-0.0125285,-0.0136991,0.118328
0.0292966,-0.0538209,0.196799,-0.00893342,-0.0462774,0.18293,-0.0182923,-0.011574,0.120733
0.0292966,-0.0538209,0.196799,-0.0084706,-0.0497596,0.187618,-0.0134135,-0.0146621,0.119875
0.0292966,-0.0538209,0.196799,-0.00486311,-0.0458276,0.183553,-0.0168979,-0.00947223,0.117475
0.0292966,-0.0538209,0.196799,-0.00726245,-0.047707,0.184787,-0.0158335,-0.0123682,0.119098
0.0292966,-0.0538209,0.196799,-0.00664839,-0.0504616,0.18903,-0.0117705,-0.0143139,0.118412
0.0292966,-0.0538209,0.196799,-0.00508508,-0.0501398,0.188625,-0.0116241,-0.0135378,0.117024
0.0292966,-0.0538209,0.196799,-0.0035971,-0.0444433,0.182776,-0.0172873,-0.00784652,0.116765
0.0292966,-0.0538209,0.196799,-0.00751711,-0.0472499,0.184364,-0.0165195,-0.0118734,0.119402
0.0292966,-0.0538209,0.196799,-0.00486307,-0.0491276,0.187075,-0.013144,-0.0126691,0.116836
0.0292966,-0.0538209,0.196799,-0.00709916,-0.0469388,0.183919,-0.0166356,-0.0116738,0.119045
0.0292966,-0.0538209,0.196799,-0.0101219,-0.0473815,0.183705,-0.017713,-0.0131482,0.121462
0.0292966,-0.0538209,0.196799,-0.00717051,-0.0466695,0.183674,-0.0173181,-0.0110905,0.119142
0.0292966,-0.0538209,0.196799,-0.00502387,-0.0496301,0.187971,-0.0124061,-0.0129939,0.116982
0.0292966,-0.0538209,0.196799,-0.00341239,-0.0478812,0.185713,-0.0144173,-0.0107393,0.115763
0.0292966,-0.0538209,0.196799,-0.00795392,-0.0472448,0.183914,-0.0171251,-0.0120342,0.119638
0.0292966,-0.0538209,0.196799,-0.0072828,-0.0472136,0.184148,-0.0168427,-0.0117407,0.11908
0.0292966,-0.0538209,0.196799,-0.00693586,-0.0479784,0.185148,-0.0155926,-0.0122935,0.118751
0.0292966,-0.0538209,0.196799,-0.00759799,-0.0516319,0.191906,-0.00884366,-0.0160857,0.119317
0.0292966,-0.0538209,0.196799,-0.00539879,-0.0520089,0.193175,-0.00700827,-0.0156302,0.117454
0.0292966,-0.0538209,0.196799,-0.00868914,-0.0487738,0.186032,-0.0151503,-0.0136799,0.120173
0.0292966,-0.0538209,0.196799,-0.00991304,-0.0453745,0.181543,-0.0200225,-0.0110903,0.121641
0.0292966,-0.0538209,0.196799,-0.00796871,-0.0504883,0.189351,-0.0114305,-0.0152865,0.119502
0.0292966,-0.0538209,0.196799,-0.00641124,-0.046009,0.183487,-0.0172118,-0.0103504,0.118712
0.0292966,-0.0538209,0.196799,-0.00501791,-0.0453957,0.183018,-0.0175499,-0.00907927,0.117623
0.0292966,-0.0538209,0.196799,-0.00619404,-0.0515525,0.193055,-0.00746201,-0.0154358,0.1183
0.0292966,-0.0538209,0.196799,-0.00393477,-0.0489033,0.187917,-0.0122999,-0.0119267,0.116279
0.0292966,-0.0538209,0.196799,-0.00456222,-0.0511454,0.190874,-0.00907019,-0.0145117,0.116532
0.0292966,-0.0538209,0.196799,nan,nan,nan,nan,nan,nan
0.0292966,-0.0538209,0.196799,-0.00560184,-0.045087,0.182789,-0.0178121,-0.00911984,0.118202
