t,x_r,y_r,z_r,x_sim,y_sim,z_sim,f_x,f_y,f_z,f_mag,ctrl_time
0.010,0.000000,0.000000,0.000000,-0.023067,-0.010785,0.125433,0.004950,0.084767,-0.155715,0.177361,0.000000
0.035,0.000000,0.000000,0.000000,-0.023073,-0.010781,0.125431,0.004966,0.084801,-0.155800,0.177452,0.000000
0.061,-0.014198,0.014086,0.130000,-0.023078,-0.010778,0.125429,0.004983,0.084835,-0.155883,0.177542,0.000000
0.085,-0.014253,0.014031,0.130000,-0.023081,-0.010776,0.125428,0.004983,0.084835,-0.155883,0.177542,65.418000
0.111,-0.014363,0.013918,0.130000,-0.023084,-0.010774,0.125427,0.005020,0.084885,-0.156052,0.177716,20.980000
0.135,-0.014417,0.013862,0.130000,-0.023087,-0.010773,0.125425,0.005035,0.084901,-0.156129,0.177792,21.261000
0.160,-0.014471,0.013805,0.130000,-0.023091,-0.010772,0.125423,0.005051,0.084909,-0.156212,0.177868,20.961000
0.185,-0.014525,0.013748,0.130000,-0.023094,-0.010773,0.125421,0.005051,0.084909,-0.156212,0.177868,22.393000
0.210,-0.014579,0.013691,0.130000,-0.023096,-0.010775,0.125419,0.005089,0.084918,-0.156382,0.178023,21.001000
0.235,-0.014633,0.013634,0.130000,-0.023098,-0.010777,0.125418,0.005104,0.084931,-0.156457,0.178096,22.077000
0.260,-0.014686,0.013576,0.130000,-0.023101,-0.010776,0.125416,0.005120,0.084942,-0.156535,0.178171,24.552000
0.285,-0.014740,0.013518,0.130000,-0.023104,-0.010777,0.125414,0.005137,0.084952,-0.156613,0.178244,25.932000
0.310,-0.014793,0.013460,0.130000,-0.023107,-0.010777,0.125412,0.005149,0.084970,-0.156683,0.178314,27.604000
0.335,-0.014845,0.013402,0.130000,-0.023110,-0.010776,0.125411,0.005162,0.084992,-0.156747,0.178381,23.361000
0.360,-0.014898,0.013344,0.130000,-0.023113,-0.010775,0.125410,0.005177,0.085011,-0.156806,0.178442,28.069000
0.385,-0.014950,0.013285,0.130000,-0.023115,-0.010774,0.125409,0.005190,0.085031,-0.156853,0.178493,28.258000
0.410,-0.015002,0.013226,0.130000,-0.023115,-0.010772,0.125409,0.005199,0.085055,-0.156890,0.178538,28.262000
0.435,-0.015002,0.013226,0.130000,-0.023117,-0.010770,0.125409,0.005210,0.085071,-0.156928,0.178580,26.943000
0.460,-0.015054,0.013167,0.130000,-0.023117,-0.010769,0.125408,0.005223,0.085074,-0.156967,0.178616,26.943000
