t,x_r,y_r,z_r,x_sim,y_sim,z_sim,f_x,f_y,f_z,f_mag,ctrl_time
0.003,0.000000,0.000000,0.000000,-0.018121,0.004815,0.129642,0.082049,0.005090,-0.311827,0.322481,0.000000
0.028,0.000000,0.000000,0.000000,-0.018122,0.004814,0.129642,0.082049,0.005090,-0.311827,0.322481,0.000000
0.053,-0.018500,-0.026915,0.130000,-0.018121,0.004814,0.129642,0.082062,0.005089,-0.311868,0.322524,0.000000
0.078,-0.018500,-0.026830,0.130000,-0.018120,0.004814,0.129642,0.082065,0.005092,-0.311886,0.322542,59.094000
0.103,-0.018500,-0.026660,0.130000,-0.018121,0.004814,0.129642,0.082068,0.005087,-0.311916,0.322572,19.995000
0.128,-0.018500,-0.026575,0.130000,-0.018121,0.004814,0.129642,0.082068,0.005087,-0.311916,0.322572,17.874000
0.153,-0.018500,-0.026490,0.130000,-0.018121,0.004813,0.129641,0.082073,0.005079,-0.311955,0.322611,17.624000
0.178,-0.018500,-0.026405,0.130000,-0.018122,0.004813,0.129641,0.082073,0.005079,-0.311955,0.322611,17.703000
0.203,-0.018500,-0.026320,0.130000,-0.018123,0.004813,0.129641,0.082071,0.005054,-0.312006,0.322659,17.807000
0.228,-0.018500,-0.026235,0.130000,-0.018124,0.004810,0.129640,0.082071,0.005054,-0.312006,0.322659,17.773000
0.253,-0.018500,-0.026150,0.130000,-0.018124,0.004807,0.129640,0.082073,0.005026,-0.312028,0.322681,26.616000
0.278,-0.018500,-0.026150,0.130000,-0.018123,0.004806,0.129641,0.082073,0.005026,-0.312028,0.322681,26.616000
0.303,-0.018500,-0.026065,0.130000,-0.018124,0.004805,0.129640,0.082071,0.005017,-0.312041,0.322693,27.318000
0.328,-0.018500,-0.025980,0.130000,-0.018125,0.004804,0.129640,0.082070,0.005004,-0.312061,0.322711,26.408000
0.353,-0.018500,-0.025895,0.130000,-0.018126,0.004803,0.129640,0.082068,0.004998,-0.312067,0.322717,21.751000
0.378,-0.018500,-0.025810,0.130000,-0.018127,0.004804,0.129639,0.082064,0.005003,-0.312063,0.322712,26.917000
0.403,-0.018500,-0.025725,0.130000,-0.018128,0.004804,0.129639,0.082062,0.005002,-0.312068,0.322716,26.897000
0.428,-0.018500,-0.025640,0.130000,-0.018129,0.004803,0.129639,0.082062,0.004993,-0.312081,0.322728,26.772000
0.453,-0.018500,-0.025555,0.130000,-0.018129,0.004803,0.129638,0.082055,0.004994,-0.312093,0.322739,26.592000
0.478,-0.018500,-0.025470,0.130000,-0.018132,0.004804,0.129637,0.082055,0.004994,-0.312093,0.322739,26.314000
0.503,-0.018500,-0.025385,0.130000,-0.018135,0.004805,0.129636,0.082051,0.004992,-0.312112,0.322755,26.962000
0.528,-0.018500,-0.025300,0.130000,-0.018137,0.004804,0.129636,0.082048,0.004982,-0.312136,0.322778,27.414000
0.553,-0.018500,-0.025215,0.130000,-0.018137,0.004804,0.129635,0.082048,0.004976,-0.312147,0.322788,27.831000
0.578,-0.018500,-0.025130,0.130000,-0.018138,0.004803,0.129635,0.082046,0.004970,-0.312153,0.322794,26.651000
0.603,-0.018500,-0.025045,0.130000,-0.018138,0.004801,0.129635,0.082043,0.004931,-0.312177,0.322816,26.917000
0.628,-0.018500,-0.024960,0.130000,-0.018138,0.004797,0.129635,0.082042,0.004919,-0.312177,0.322815,26.750000
0.653,-0.018500,-0.024875,0.130000,-0.018137,0.004796,0.129635,0.082038,0.004912,-0.312181,0.322818,27.520000
0.678,-0.018500,-0.024875,0.130000,-0.018138,0.004795,0.129635,0.082038,0.004912,-0.312181,0.322818,27.520000
0.703,-0.018500,-0.024790,0.130000,-0.018139,0.004793,0.129635,0.082035,0.004894,-0.312197,0.322832,26.632000
0.728,-0.018500,-0.024705,0.130000,-0.018139,0.004789,0.129635,0.082036,0.004861,-0.312216,0.322851,27.610000
0.753,-0.018500,-0.024620,0.130000,-0.018138,0.004787,0.129635,0.082036,0.004861,-0.312216,0.322851,27.169000
0.778,-0.018500,-0.024535,0.130000,-0.018139,0.004787,0.129635,0.082037,0.004854,-0.312237,0.322871,27.625000
0.803,-0.018500,-0.024450,0.130000,-0.018139,0.004785,0.129634,0.082049,0.004831,-0.312328,0.322962,27.148000
0.828,-0.018500,-0.024365,0.130000,-0.018139,0.004784,0.129634,0.082058,0.004831,-0.312371,0.323006,27.296000
0.853,-0.018500,-0.024280,0.130000,-0.018139,0.004784,0.129634,0.082065,0.004828,-0.312425,0.323059,33.218000
0.878,-0.018500,-0.024280,0.130000,-0.018141,0.004784,0.129633,0.082065,0.004828,-0.312425,0.323059,33.218000
0.903,-0.018500,-0.024195,0.130000,-0.018141,0.004782,0.129633,0.082073,0.004813,-0.312489,0.323123,27.371000
