t,x_r,y_r,z_r,x_sim,y_sim,z_sim,f_x,f_y,f_z,f_mag,ctrl_time
0.004,0.000000,0.000000,0.000000,0.004363,-0.022792,0.123241,-0.030592,0.221695,-0.346517,0.412502,0.000000
0.028,0.000000,0.000000,0.000000,0.004363,-0.022793,0.123242,-0.030593,0.221709,-0.346541,0.412530,0.000000
0.054,-0.015590,0.015589,0.125000,0.004363,-0.022792,0.123241,-0.030595,0.221719,-0.346560,0.412552,0.000000
0.078,-0.015623,0.015622,0.125000,0.004363,-0.022792,0.123241,-0.030597,0.221728,-0.346574,0.412569,62.340000
0.103,-0.015656,0.015655,0.125000,0.004362,-0.022792,0.123241,-0.030601,0.221731,-0.346584,0.412579,26.303000
0.128,-0.015690,0.015688,0.125000,0.004360,-0.022792,0.123241,-0.030605,0.221724,-0.346594,0.412584,27.279000
0.153,-0.015723,0.015721,0.125000,0.004357,-0.022794,0.123241,-0.030607,0.221711,-0.346603,0.412584,24.610000
0.178,-0.015757,0.015753,0.125000,0.004355,-0.022796,0.123240,-0.030607,0.221700,-0.346604,0.412580,24.770000
0.203,-0.015790,0.015786,0.125000,0.004355,-0.022798,0.123239,-0.030603,0.221695,-0.346595,0.412569,23.528000
0.228,-0.015824,0.015818,0.125000,0.004357,-0.022797,0.123239,-0.030595,0.221691,-0.346574,0.412549,21.800000
0.253,-0.015858,0.015851,0.125000,0.004361,-0.022796,0.123240,-0.030586,0.221686,-0.346543,0.412519,23.454000
0.278,-0.015892,0.015883,0.125000,0.004367,-0.022794,0.123240,-0.030579,0.221680,-0.346506,0.412485,23.108000
0.303,-0.015926,0.015915,0.125000,0.004370,-0.022792,0.123241,-0.030575,0.221669,-0.346474,0.412451,24.974000
0.328,-0.015960,0.015947,0.125000,0.004372,-0.022791,0.123241,-0.030572,0.221653,-0.346448,0.412421,28.186000
0.353,-0.015994,0.015978,0.125000,0.004373,-0.022792,0.123241,-0.030568,0.221638,-0.346425,0.412393,28.450000
0.378,-0.016028,0.016010,0.125000,0.004374,-0.022792,0.123241,-0.030564,0.221628,-0.346400,0.412366,29.415000
0.403,-0.016062,0.016042,0.125000,0.004376,-0.022791,0.123241,-0.030561,0.221622,-0.346372,0.412339,28.375000
0.428,-0.016097,0.016073,0.125000,0.004377,-0.022790,0.123242,-0.030561,0.221614,-0.346342,0.412310,24.446000
0.453,-0.016131,0.016104,0.125000,0.004377,-0.022790,0.123242,-0.030564,0.221604,-0.346318,0.412284,27.065000
0.478,-0.016165,0.016135,0.125000,0.004375,-0.022791,0.123242,-0.030570,0.221595,-0.346302,0.412267,23.155000
0.503,-0.016200,0.016166,0.125000,0.004371,-0.022792,0.123242,-0.030575,0.221590,-0.346297,0.412260,23.302000
0.528,-0.016234,0.016197,0.125000,0.004367,-0.022793,0.123242,-0.030580,0.221586,-0.346299,0.412260,24.572000
0.553,-0.016269,0.016227,0.125000,0.004365,-0.022794,0.123242,-0.030583,0.221582,-0.346302,0.412261,25.866000
0.578,-0.016303,0.016258,0.125000,0.004362,-0.022795,0.123242,-0.030584,0.221581,-0.346303,0.412261,22.657000
0.603,-0.016338,0.016288,0.125000,0.004362,-0.022795,0.123242,-0.030583,0.221583,-0.346307,0.412265,23.819000
0.628,-0.016372,0.016318,0.125000,0.004363,-0.022795,0.123242,-0.030582,0.221592,-0.346315,0.412277,21.113000
0.653,-0.016407,0.016348,0.125000,0.004364,-0.022794,0.123242,-0.030582,0.221607,-0.346330,0.412297,21.003000
0.678,-0.016441,0.016378,0.125000,0.004364,-0.022793,0.123242,-0.030583,0.221627,-0.346351,0.412326,20.804000
0.703,-0.016476,0.016407,0.125000,0.004365,-0.022792,0.123243,-0.030581,0.221649,-0.346373,0.412356,21.818000
0.728,-0.016511,0.016437,0.125000,0.004368,-0.022790,0.123243,-0.030579,0.221666,-0.346393,0.412382,20.801000
0.753,-0.016546,0.016466,0.125000,0.004370,-0.022789,0.123243,-0.030578,0.221678,-0.346416,0.412408,20.962000
0.778,-0.016580,0.016495,0.125000,0.004371,-0.022788,0.123243,-0.030578,0.221692,-0.346446,0.412441,20.461000
0.803,-0.016615,0.016524,0.125000,0.004372,-0.022788,0.123243,-0.030580,0.221709,-0.346483,0.412481,21.033000
0.828,-0.016650,0.016552,0.125000,0.004372,-0.022788,0.123243,-0.030584,0.221727,-0.346521,0.412523,21.158000
0.853,-0.016685,0.016581,0.125000,0.004370,-0.022788,0.123243,-0.030589,0.221741,-0.346553,0.412558,20.947000
0.878,-0.016720,0.016609,0.125000,0.004368,-0.022788,0.123242,-0.030593,0.221750,-0.346580,0.412585,20.867000
0.903,-0.016754,0.016637,0.125000,0.004366,-0.022789,0.123242,-0.030595,0.221755,-0.346602,0.412606,20.311000
0.928,-0.016789,0.016665,0.125000,0.004365,-0.022789,0.123242,-0.030596,0.221758,-0.346619,0.412622,20.798000
0.953,-0.016824,0.016692,0.125000,0.004365,-0.022790,0.123242,-0.030597,0.221761,-0.346634,0.412637,19.155000
0.978,-0.016859,0.016720,0.125000,0.004364,-0.022791,0.123241,-0.030601,0.221765,-0.346652,0.412654,20.178000
1.003,-0.016894,0.016747,0.125000,0.004362,-0.022791,0.123241,-0.030603,0.221773,-0.346667,0.412672,19.329000
1.028,-0.016929,0.016774,0.125000,0.004361,-0.022791,0.123241,-0.030605,0.221781,-0.346677,0.412684,21.198000
1.053,-0.016964,0.016800,0.125000,0.004360,-0.022791,0.123241,-0.030607,0.221787,-0.346682,0.412692,20.575000
1.078,-0.016998,0.016827,0.125000,0.004360,-0.022791,0.123241,-0.030608,0.221791,-0.346685,0.412697,21.384000
1.103,-0.017033,0.016853,0.125000,0.004360,-0.022791,0.123241,-0.030607,0.221792,-0.346687,0.412699,20.817000
1.128,-0.017068,0.016879,0.125000,0.004360,-0.022790,0.123241,-0.030607,0.221797,-0.346687,0.412702,19.917000
1.153,-0.017103,0.016905,0.125000,0.004360,-0.022790,0.123242,-0.030607,0.221807,-0.346690,0.412710,20.750000
1.178,-0.017138,0.016930,0.125000,0.004361,-0.022789,0.123242,-0.030606,0.221817,-0.346701,0.412724,21.034000
1.203,-0.017172,0.016956,0.125000,0.004363,-0.022788,0.123242,-0.030605,0.221824,-0.346712,0.412737,20.906000
1.228,-0.017207,0.016981,0.125000,0.004364,-0.022787,0.123242,-0.030605,0.221826,-0.346714,0.412740,20.244000
1.253,-0.017242,0.017005,0.125000,0.004363,-0.022787,0.123242,-0.030608,0.221822,-0.346708,0.412733,20.257000
1.278,-0.017276,0.017030,0.125000,0.004362,-0.022788,0.123242,-0.030609,0.221813,-0.346696,0.412718,20.553000
1.304,-0.017311,0.017054,0.125000,0.004360,-0.022789,0.123242,-0.030607,0.221798,-0.346677,0.412694,19.682000
1.328,-0.017346,0.017078,0.125000,0.004361,-0.022789,0.123242,-0.030602,0.221780,-0.346648,0.412659,21.182000
1.353,-0.017380,0.017102,0.125000,0.004362,-0.022790,0.123242,-0.030597,0.221760,-0.346617,0.412622,21.056000
1.378,-0.017415,0.017125,0.125000,0.004364,-0.022790,0.123242,-0.030594,0.221738,-0.346587,0.412585,20.714000
1.403,-0.017449,0.017149,0.125000,0.004365,-0.022791,0.123241,-0.030592,0.221709,-0.346555,0.412543,20.526000
1.428,-0.017484,0.017172,0.125000,0.004364,-0.022792,0.123241,-0.030592,0.221677,-0.346520,0.412496,22.071000
1.453,-0.017518,0.017194,0.125000,0.004362,-0.022794,0.123240,-0.030592,0.221646,-0.346487,0.412451,21.690000
1.478,-0.017553,0.017217,0.125000,0.004361,-0.022797,0.123240,-0.030590,0.221616,-0.346460,0.412412,21.402000
1.503,-0.017587,0.017239,0.125000,0.004360,-0.022799,0.123239,-0.030588,0.221588,-0.346436,0.412377,21.449000
1.528,-0.017621,0.017260,0.125000,0.004359,-0.022801,0.123238,-0.030585,0.221564,-0.346411,0.412343,21.057000
1.553,-0.017656,0.017282,0.125000,0.004360,-0.022802,0.123238,-0.030583,0.221547,-0.346387,0.412313,20.569000
1.578,-0.017690,0.017303,0.125000,0.004360,-0.022803,0.123238,-0.030582,0.221536,-0.346364,0.412288,20.361000
1.603,-0.017724,0.017324,0.125000,0.004359,-0.022803,0.123238,-0.030583,0.221527,-0.346342,0.412265,19.575000
1.628,-0.017758,0.017345,0.125000,0.004359,-0.022803,0.123238,-0.030582,0.221519,-0.346319,0.412242,20.029000
1.653,-0.017792,0.017365,0.125000,0.004359,-0.022803,0.123238,-0.030580,0.221510,-0.346298,0.412219,20.156000
1.678,-0.017826,0.017385,0.125000,0.004360,-0.022803,0.123238,-0.030577,0.221500,-0.346278,0.412196,19.967000
1.703,-0.017860,0.017405,0.125000,0.004361,-0.022802,0.123239,-0.030573,0.221491,-0.346257,0.412173,20.039000
1.728,-0.017894,0.017424,0.125000,0.004362,-0.022802,0.123239,-0.030569,0.221486,-0.346237,0.412154,19.834000
1.754,-0.017928,0.017444,0.125000,0.004364,-0.022801,0.123239,-0.030566,0.221485,-0.346218,0.412137,19.759000
1.778,-0.017961,0.017462,0.125000,0.004366,-0.022800,0.123239,-0.030565,0.221483,-0.346200,0.412120,19.473000
1.804,-0.017995,0.017481,0.125000,0.004367,-0.022799,0.123240,-0.030565,0.221477,-0.346184,0.412104,20.855000
1.828,-0.018028,0.017499,0.125000,0.004366,-0.022800,0.123240,-0.030566,0.221473,-0.346177,0.412095,20.266000
1.853,-0.018062,0.017517,0.125000,0.004366,-0.022800,0.123240,-0.030565,0.221472,-0.346176,0.412094,20.672000
1.878,-0.018095,0.017535,0.125000,0.004366,-0.022800,0.123240,-0.030565,0.221474,-0.346175,0.412095,20.356000
1.903,-0.018128,0.017552,0.125000,0.004366,-0.022800,0.123240,-0.030565,0.221479,-0.346176,0.412098,20.961000
1.928,-0.018162,0.017569,0.125000,0.004367,-0.022799,0.123240,-0.030564,0.221486,-0.346183,0.412108,20.013000
1.953,-0.018195,0.017585,0.125000,0.004368,-0.022798,0.123240,-0.030565,0.221497,-0.346195,0.412124,20.404000
1.978,-0.018228,0.017602,0.125000,0.004368,-0.022798,0.123241,-0.030569,0.221511,-0.346210,0.412144,20.685000
2.004,-0.018261,0.017617,0.125000,0.004367,-0.022797,0.123241,-0.030573,0.221528,-0.346229,0.412170,21.165000
2.028,-0.018294,0.017633,0.125000,0.004365,-0.022797,0.123241,-0.030577,0.221548,-0.346253,0.412201,20.158000
2.053,-0.018326,0.017648,0.125000,0.004364,-0.022796,0.123241,-0.030579,0.221568,-0.346278,0.412233,20.537000
2.078,-0.018359,0.017663,0.125000,0.004364,-0.022795,0.123242,-0.030582,0.221583,-0.346299,0.412259,20.030000
2.103,-0.018391,0.017678,0.125000,0.004363,-0.022794,0.123242,-0.030584,0.221589,-0.346318,0.412278,20.124000
2.128,-0.018424,0.017692,0.125000,0.004362,-0.022795,0.123242,-0.030585,0.221589,-0.346336,0.412293,20.382000
2.153,-0.018456,0.017706,0.125000,0.004362,-0.022796,0.123241,-0.030585,0.221588,-0.346348,0.412302,20.550000
2.178,-0.018488,0.017719,0.125000,0.004361,-0.022796,0.123241,-0.030587,0.221591,-0.346352,0.412308,20.725000
2.203,-0.018521,0.017732,0.125000,0.004361,-0.022796,0.123241,-0.030590,0.221596,-0.346354,0.412313,20.621000
2.228,-0.018553,0.017745,0.125000,0.004359,-0.022796,0.123241,-0.030591,0.221599,-0.346357,0.412316,20.334000
2.254,-0.018584,0.017758,0.125000,0.004359,-0.022796,0.123241,-0.030589,0.221596,-0.346357,0.412314,20.449000
2.278,-0.018616,0.017770,0.125000,0.004359,-0.022796,0.123241,-0.030587,0.221591,-0.346355,0.412311,20.490000
2.303,-0.018648,0.017781,0.125000,0.004360,-0.022797,0.123241,-0.030585,0.221589,-0.346356,0.412311,20.491000
2.328,-0.018679,0.017793,0.125000,0.004361,-0.022797,0.123241,-0.030582,0.221590,-0.346357,0.412311,20.646000
2.353,-0.018711,0.017804,0.125000,0.004363,-0.022796,0.123241,-0.030580,0.221593,-0.346352,0.412309,19.744000
2.378,-0.018742,0.017814,0.125000,0.004365,-0.022795,0.123241,-0.030580,0.221600,-0.346342,0.412304,20.459000
2.403,-0.018773,0.017825,0.125000,0.004365,-0.022794,0.123242,-0.030583,0.221607,-0.346330,0.412298,21.116000
2.428,-0.018804,0.017835,0.125000,0.004364,-0.022793,0.123242,-0.030584,0.221610,-0.346318,0.412289,20.588000
2.453,-0.018835,0.017844,0.125000,0.004364,-0.022792,0.123243,-0.030582,0.221606,-0.346302,0.412274,20.941000
2.478,-0.018866,0.017853,0.125000,0.004364,-0.022792,0.123243,-0.030579,0.221597,-0.346286,0.412255,19.985000
2.503,-0.018896,0.017862,0.125000,0.004366,-0.022792,0.123243,-0.030576,0.221587,-0.346276,0.412241,20.758000
2.528,-0.018927,0.017870,0.125000,0.004367,-0.022792,0.123243,-0.030574,0.221577,-0.346275,0.412235,19.353000
2.553,-0.018957,0.017878,0.125000,0.004368,-0.022793,0.123242,-0.030572,0.221569,-0.346279,0.412233,21.912000
2.578,-0.018987,0.017886,0.125000,0.004368,-0.022794,0.123242,-0.030573,0.221565,-0.346284,0.412236,21.517000
2.603,-0.019018,0.017893,0.125000,0.004367,-0.022795,0.123241,-0.030575,0.221561,-0.346292,0.412241,19.194000
2.628,-0.019047,0.017900,0.125000,0.004366,-0.022796,0.123241,-0.030575,0.221556,-0.346301,0.412245,19.410000
2.653,-0.019077,0.017907,0.125000,0.004365,-0.022797,0.123241,-0.030572,0.221551,-0.346310,0.412250,19.328000
2.678,-0.019107,0.017913,0.125000,0.004366,-0.022797,0.123240,-0.030570,0.221548,-0.346322,0.412258,19.215000
2.704,-0.019136,0.017918,0.125000,0.004368,-0.022798,0.123240,-0.030567,0.221550,-0.346338,0.412273,26.014000
2.728,-0.019166,0.017924,0.125000,0.004370,-0.022798,0.123239,-0.030566,0.221558,-0.346357,0.412293,22.168000
2.753,-0.019195,0.017929,0.125000,0.004371,-0.022798,0.123239,-0.030567,0.221568,-0.346369,0.412308,20.107000
2.778,-0.019224,0.017933,0.125000,0.004371,-0.022797,0.123239,-0.030569,0.221578,-0.346374,0.412318,19.365000
2.803,-0.019252,0.017937,0.125000,0.004370,-0.022797,0.123240,-0.030571,0.221586,-0.346377,0.412325,19.777000
2.828,-0.019281,0.017941,0.125000,0.004370,-0.022796,0.123240,-0.030570,0.221595,-0.346382,0.412334,19.139000
2.853,-0.019310,0.017944,0.125000,0.004370,-0.022795,0.123240,-0.030569,0.221607,-0.346394,0.412351,19.805000
2.878,-0.019338,0.017947,0.125000,0.004372,-0.022794,0.123240,-0.030568,0.221621,-0.346415,0.412376,19.400000
2.904,-0.019366,0.017950,0.125000,0.004373,-0.022793,0.123240,-0.030567,0.221632,-0.346439,0.412401,19.849000
2.928,-0.019394,0.017952,0.125000,0.004375,-0.022793,0.123240,-0.030566,0.221638,-0.346457,0.412420,19.959000
2.954,-0.019422,0.017954,0.125000,0.004375,-0.022793,0.123240,-0.030568,0.221644,-0.346471,0.412435,20.565000
2.978,-0.019450,0.017955,0.125000,0.004374,-0.022793,0.123240,-0.030572,0.221653,-0.346484,0.412451,19.453000
3.003,-0.019477,0.017956,0.125000,0.004373,-0.022793,0.123240,-0.030573,0.221665,-0.346500,0.412471,18.955000
3.028,-0.019504,0.017956,0.125000,0.004373,-0.022793,0.123240,-0.030574,0.221681,-0.346519,0.412495,19.208000
3.053,-0.019531,0.017957,0.125000,0.004373,-0.022792,0.123241,-0.030574,0.221697,-0.346540,0.412522,19.823000
3.078,-0.019558,0.017956,0.125000,0.004374,-0.022791,0.123241,-0.030574,0.221710,-0.346562,0.412548,19.654000
3.104,-0.019585,0.017956,0.125000,0.004375,-0.022790,0.123241,-0.030575,0.221721,-0.346581,0.412570,20.026000
3.128,-0.019612,0.017954,0.125000,0.004375,-0.022790,0.123241,-0.030578,0.221732,-0.346596,0.412588,19.292000
3.153,-0.019638,0.017953,0.125000,0.004374,-0.022790,0.123241,-0.030583,0.221744,-0.346611,0.412607,20.681000
3.178,-0.019664,0.017951,0.125000,0.004372,-0.022790,0.123241,-0.030588,0.221757,-0.346626,0.412628,21.061000
3.203,-0.019690,0.017949,0.125000,0.004369,-0.022789,0.123241,-0.030590,0.221767,-0.346641,0.412646,21.575000
3.228,-0.019716,0.017946,0.125000,0.004369,-0.022789,0.123241,-0.030589,0.221771,-0.346653,0.412658,19.706000
3.253,-0.019741,0.017943,0.125000,0.004369,-0.022789,0.123241,-0.030590,0.221770,-0.346660,0.412663,19.702000
3.278,-0.019767,0.017939,0.125000,0.004369,-0.022790,0.123241,-0.030590,0.221762,-0.346663,0.412661,21.126000
3.303,-0.019792,0.017935,0.125000,0.004368,-0.022791,0.123241,-0.030590,0.221748,-0.346663,0.412654,19.977000
3.328,-0.019817,0.017930,0.125000,0.004367,-0.022792,0.123240,-0.030591,0.221731,-0.346662,0.412644,21.478000
3.353,-0.019842,0.017926,0.125000,0.004366,-0.022794,0.123239,-0.030594,0.221709,-0.346665,0.412635,20.844000
3.378,-0.019866,0.017920,0.125000,0.004363,-0.022797,0.123238,-0.030594,0.221682,-0.346674,0.412628,21.074000
3.404,-0.019891,0.017915,0.125000,0.004361,-0.022801,0.123237,-0.030593,0.221649,-0.346681,0.412616,20.592000
3.428,-0.019915,0.017909,0.125000,0.004359,-0.022805,0.123235,-0.030594,0.221616,-0.346682,0.412598,20.519000
