t,q1,q2,q3,q4,q1_dot,q2_dot,q3_dot,q4_dot,c1,c2,c3,c4,q_r1,q_r2,q_r3,q_r4,q_r1_dot,q_r2_dot,q_r3_dot,q_r4_dot
0.025,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.075,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125000,0.000750,0.125000,0.000750
0.100,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.249999,0.000002,0.250000,0.001464
0.125,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.374996,-0.000746,0.375000,0.002171
0.150,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.608490,-0.002244,0.625000,0.003586
0.175,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.681475,-0.002994,0.750000,0.004337
0.200,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.681475,-0.002994,0.750000,0.004337
0.225,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.710139,-0.004495,1.000000,0.005804
0.250,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.710139,-0.004495,1.000000,0.005804
0.275,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600457,-0.005245,1.125000,0.006445
0.300,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.289252,-0.006740,1.374968,0.007923
0.325,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128376,-0.007484,1.499968,0.008644
0.350,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128376,-0.007484,1.499968,0.008644
0.375,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.035513,-0.008231,1.624969,0.009411
0.400,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.202051,-0.008983,1.749928,0.010074
0.425,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.370916,-0.009733,1.874931,0.010808
0.450,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.541719,-0.010484,1.959050,0.011579
0.475,-2.211856,-0.080049,-0.400553,-0.049949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.704641,-0.011240,2.053433,0.012000
