t,x_r,y_r,z_r,x_sim,y_sim,z_sim,f_x,f_y,f_z,f_mag,ctrl_time
0.000,0.000000,0.000000,0.000000,-0.019483,-0.010146,0.129724,0.165830,0.109292,-0.362656,0.413478,0.000000
0.025,0.000000,0.000000,0.000000,-0.019483,-0.010146,0.129724,0.165808,0.109300,-0.362708,0.413516,0.000000
0.050,-0.018500,-0.026915,0.130000,-0.019489,-0.010146,0.129722,0.165795,0.109311,-0.362797,0.413593,0.000000
0.075,-0.018500,-0.026830,0.130000,-0.019494,-0.010150,0.129719,0.165798,0.109325,-0.362893,0.413682,64.982000
0.100,-0.018500,-0.026745,0.130000,-0.019498,-0.010153,0.129717,0.165815,0.109339,-0.362960,0.413751,25.400000
0.125,-0.018500,-0.026660,0.130000,-0.019499,-0.010152,0.129716,0.165839,0.109350,-0.362988,0.413788,28.500000
0.150,-0.018500,-0.026575,0.130000,-0.019497,-0.010149,0.129717,0.165852,0.109359,-0.363003,0.413808,24.802000
0.175,-0.018500,-0.026490,0.130000,-0.019496,-0.010146,0.129718,0.165845,0.109367,-0.363034,0.413835,23.890000
0.200,-0.018500,-0.026405,0.130000,-0.019498,-0.010145,0.129717,0.165828,0.109374,-0.363085,0.413874,24.518000
0.225,-0.018500,-0.026320,0.130000,-0.019502,-0.010146,0.129715,0.165818,0.109381,-0.363132,0.413914,25.880000
0.250,-0.018500,-0.026235,0.130000,-0.019506,-0.010147,0.129714,0.165820,0.109387,-0.363152,0.413934,26.423000
0.275,-0.018500,-0.026150,0.130000,-0.019506,-0.010146,0.129713,0.165826,0.109389,-0.363141,0.413927,24.160000
0.300,-0.018500,-0.026065,0.130000,-0.019505,-0.010143,0.129714,0.165825,0.109388,-0.363116,0.413904,22.134000
0.325,-0.018500,-0.025980,0.130000,-0.019504,-0.010141,0.129715,0.165819,0.109385,-0.363104,0.413891,20.506000
0.350,-0.018500,-0.025895,0.130000,-0.019504,-0.010141,0.129715,0.165812,0.109381,-0.363115,0.413897,28.330000
0.375,-0.018500,-0.025810,0.130000,-0.019506,-0.010145,0.129714,0.165813,0.109376,-0.363132,0.413911,27.720000
0.400,-0.018500,-0.025725,0.130000,-0.019506,-0.010150,0.129713,0.165829,0.109370,-0.363129,0.413913,27.861000
0.425,-0.018500,-0.025725,0.130000,-0.019504,-0.010153,0.129713,0.165854,0.109366,-0.363097,0.413894,27.861000
0.450,-0.018500,-0.025640,0.130000,-0.019500,-0.010153,0.129715,0.165873,0.109362,-0.363053,0.413861,27.681000
0.475,-0.018500,-0.025555,0.130000,-0.019495,-0.010150,0.129718,0.165881,0.109357,-0.363025,0.413838,21.517000
0.500,-0.018500,-0.025385,0.130000,-0.019493,-0.010150,0.129719,0.165883,0.109352,-0.363036,0.413848,26.488000
0.525,-0.018500,-0.025385,0.130000,-0.019493,-0.010155,0.129718,0.165889,0.109352,-0.363082,0.413890,26.488000
0.550,-0.018500,-0.025300,0.130000,-0.019495,-0.010161,0.129716,0.165902,0.109356,-0.363135,0.413943,27.379000
