t,x_r,y_r,z_r,x_sim,y_sim,z_sim,f_x,f_y,f_z,f_mag,ctrl_time
0.004,0.000000,0.000000,0.000000,-0.020305,0.011491,0.128422,0.028775,-0.025136,-0.204196,0.207740,0.000000
0.029,0.000000,0.000000,0.000000,-0.020304,0.011490,0.128423,0.028785,-0.025139,-0.204208,0.207754,0.000000
0.054,-0.014198,0.014086,0.130000,-0.020303,0.011490,0.128423,0.028791,-0.025142,-0.204219,0.207765,0.000000
0.079,-0.014253,0.014031,0.130000,-0.020303,0.011490,0.128423,0.028793,-0.025145,-0.204221,0.207768,63.183000
0.104,-0.014363,0.013918,0.130000,-0.020303,0.011489,0.128423,0.028797,-0.025148,-0.204221,0.207769,17.632000
0.129,-0.014363,0.013918,0.130000,-0.020302,0.011489,0.128424,0.028803,-0.025150,-0.204226,0.207775,18.289000
0.154,-0.014471,0.013805,0.130000,-0.020301,0.011488,0.128424,0.028812,-0.025152,-0.204231,0.207782,18.304000
0.179,-0.014525,0.013748,0.130000,-0.020301,0.011488,0.128424,0.028820,-0.025153,-0.204240,0.207791,18.604000
0.204,-0.014525,0.013748,0.130000,-0.020300,0.011488,0.128425,0.028825,-0.025154,-0.204254,0.207806,18.290000
0.229,-0.014633,0.013634,0.130000,-0.020300,0.011488,0.128424,0.028829,-0.025152,-0.204264,0.207816,18.870000
0.254,-0.014686,0.013576,0.130000,-0.020300,0.011489,0.128424,0.028830,-0.025146,-0.204259,0.207810,19.208000
0.279,-0.014686,0.013576,0.130000,-0.020300,0.011489,0.128424,0.028828,-0.025138,-0.204245,0.207796,19.986000
0.304,-0.014793,0.013460,0.130000,-0.020300,0.011490,0.128424,0.028827,-0.025133,-0.204249,0.207799,24.404000
0.329,-0.014845,0.013402,0.130000,-0.020300,0.011491,0.128424,0.028829,-0.025134,-0.204277,0.207827,24.381000
0.354,-0.014898,0.013344,0.130000,-0.020301,0.011492,0.128423,0.028831,-0.025139,-0.204306,0.207856,21.843000
0.379,-0.014898,0.013344,0.130000,-0.020302,0.011492,0.128423,0.028827,-0.025140,-0.204313,0.207862,20.263000
0.404,-0.014950,0.013285,0.130000,-0.020303,0.011492,0.128422,0.028816,-0.025135,-0.204296,0.207843,20.263000
0.429,-0.015054,0.013167,0.130000,-0.020303,0.011493,0.128422,0.028799,-0.025126,-0.204269,0.207813,18.143000
0.454,-0.015106,0.013108,0.130000,-0.020304,0.011494,0.128422,0.028778,-0.025117,-0.204240,0.207781,18.974000
0.479,-0.015106,0.013108,0.130000,-0.020306,0.011495,0.128421,0.028755,-0.025109,-0.204215,0.207753,20.114000
0.504,-0.015157,0.013049,0.130000,-0.020308,0.011496,0.128420,0.028731,-0.025103,-0.204194,0.207728,18.954000
0.529,-0.015208,0.012989,0.130000,-0.020310,0.011497,0.128419,0.028706,-0.025100,-0.204168,0.207698,18.987000
0.554,-0.015310,0.012869,0.130000,-0.020312,0.011498,0.128419,0.028679,-0.025094,-0.204126,0.207652,18.874000
0.579,-0.015310,0.012869,0.130000,-0.020313,0.011498,0.128418,0.028653,-0.025083,-0.204071,0.207594,18.913000
