t,x_r,y_r,z_r,x_sim,y_sim,z_sim,f_x,f_y,f_z,f_mag,ctrl_time
0.007,0.000000,0.000000,0.000000,-0.016389,-0.009955,0.117388,0.181469,0.092766,-0.356503,0.410647,0.000000
0.032,0.000000,0.000000,0.000000,-0.016388,-0.009951,0.117389,0.181481,0.092771,-0.356506,0.410656,0.000000
0.057,-0.018500,-0.026915,0.130000,-0.016387,-0.009947,0.117390,0.181490,0.092774,-0.356499,0.410655,0.000000
0.082,-0.018500,-0.026830,0.130000,-0.016386,-0.009944,0.117391,0.181495,0.092774,-0.356480,0.410641,61.708000
0.107,-0.018500,-0.026745,0.130000,-0.016386,-0.009941,0.117391,0.181497,0.092772,-0.356452,0.410617,27.841000
0.132,-0.018500,-0.026660,0.130000,-0.016385,-0.009939,0.117392,0.181496,0.092770,-0.356422,0.410589,27.867000
0.157,-0.018500,-0.026575,0.130000,-0.016384,-0.009937,0.117393,0.181493,0.092766,-0.356390,0.410559,27.852000
0.182,-0.018500,-0.026490,0.130000,-0.016384,-0.009936,0.117393,0.181488,0.092762,-0.356350,0.410522,25.604000
0.207,-0.018500,-0.026405,0.130000,-0.016384,-0.009933,0.117394,0.181484,0.092756,-0.356303,0.410478,26.958000
0.232,-0.018500,-0.026320,0.130000,-0.016383,-0.009931,0.117394,0.181483,0.092747,-0.356251,0.410430,25.194000
0.257,-0.018500,-0.026235,0.130000,-0.016382,-0.009933,0.117395,0.181483,0.092736,-0.356191,0.410376,28.720000
0.282,-0.018500,-0.026150,0.130000,-0.016380,-0.009936,0.117396,0.181482,0.092725,-0.356126,0.410316,25.701000
0.307,-0.018500,-0.026150,0.130000,-0.016378,-0.009937,0.117396,0.181482,0.092713,-0.356061,0.410257,25.701000
0.332,-0.018500,-0.026065,0.130000,-0.016376,-0.009940,0.117397,0.181487,0.092702,-0.355997,0.410201,26.907000
0.357,-0.018500,-0.025980,0.130000,-0.016373,-0.009943,0.117398,0.181487,0.092702,-0.355997,0.410201,28.821000
0.382,-0.018500,-0.025895,0.130000,-0.016370,-0.009945,0.117399,0.181496,0.092683,-0.355876,0.410096,27.914000
0.407,-0.018500,-0.025810,0.130000,-0.016368,-0.009945,0.117400,0.181497,0.092676,-0.355825,0.410050,19.273000
0.432,-0.018500,-0.025725,0.130000,-0.016366,-0.009945,0.117401,0.181499,0.092669,-0.355781,0.410012,24.301000
0.457,-0.018500,-0.025640,0.130000,-0.016364,-0.009946,0.117401,0.181504,0.092663,-0.355742,0.409978,27.475000
0.482,-0.018500,-0.025555,0.130000,-0.016363,-0.009947,0.117402,0.181509,0.092660,-0.355710,0.409952,28.444000
0.507,-0.018500,-0.025470,0.130000,-0.016361,-0.009946,0.117403,0.181513,0.092659,-0.355689,0.409936,28.044000
0.532,-0.018500,-0.025385,0.130000,-0.016360,-0.009944,0.117403,0.181516,0.092658,-0.355673,0.409923,28.824000
0.558,-0.018500,-0.025300,0.130000,-0.016360,-0.009943,0.117404,0.181517,0.092658,-0.355658,0.409911,28.635000
0.582,-0.018500,-0.025300,0.130000,-0.016360,-0.009940,0.117405,0.181517,0.092659,-0.355650,0.409904,29.418000
0.607,-0.018500,-0.025215,0.130000,-0.016360,-0.009937,0.117405,0.181520,0.092661,-0.355651,0.409906,29.418000
0.632,-0.018500,-0.025130,0.130000,-0.016360,-0.009937,0.117405,0.181526,0.092662,-0.355654,0.409912,29.935000
0.657,-0.018500,-0.025045,0.130000,-0.016359,-0.009937,0.117405,0.181531,0.092664,-0.355659,0.409919,28.819000
