t,x_r,y_r,z_r,x_sim,y_sim,z_sim,f_x,f_y,f_z,f_mag,ctrl_time
0.019,0.000000,0.000000,0.000000,-0.018696,-0.007561,0.117904,0.222177,0.143745,-0.500000,0.565708,0.000000
0.044,-0.018500,-0.026915,0.130000,-0.018696,-0.007558,0.117905,0.222188,0.143752,-0.500000,0.565714,0.000000
0.069,-0.018500,-0.026830,0.130000,-0.018695,-0.007557,0.117905,0.222197,0.143755,-0.500000,0.565718,59.111000
0.094,-0.018500,-0.026745,0.130000,-0.018694,-0.007558,0.117905,0.222200,0.143757,-0.500000,0.565720,16.631000
0.119,-0.018500,-0.026660,0.130000,-0.018694,-0.007557,0.117905,0.222198,0.143758,-0.500000,0.565719,21.510000
0.144,-0.018500,-0.026575,0.130000,-0.018694,-0.007557,0.117905,0.222193,0.143754,-0.500000,0.565716,21.890000
0.169,-0.018500,-0.026405,0.130000,-0.018694,-0.007557,0.117905,0.222183,0.143747,-0.500000,0.565711,21.059000
0.194,-0.018500,-0.026320,0.130000,-0.018695,-0.007558,0.117905,0.222169,0.143742,-0.500000,0.565704,21.746000
0.219,-0.018500,-0.026235,0.130000,-0.018696,-0.007558,0.117904,0.222159,0.143737,-0.500000,0.565699,21.278000
0.244,-0.018500,-0.026150,0.130000,-0.018697,-0.007558,0.117904,0.222150,0.143728,-0.500000,0.565693,22.966000
0.269,-0.018500,-0.026065,0.130000,-0.018698,-0.007560,0.117904,0.222136,0.143722,-0.500000,0.565686,25.447000
0.294,-0.018500,-0.025980,0.130000,-0.018699,-0.007560,0.117903,0.222118,0.143721,-0.500000,0.565678,23.094000
0.319,-0.018500,-0.025895,0.130000,-0.018701,-0.007558,0.117902,0.222105,0.143721,-0.500000,0.565673,24.404000
0.344,-0.018500,-0.025810,0.130000,-0.018703,-0.007556,0.117902,0.222098,0.143718,-0.500000,0.565670,25.340000
0.369,-0.018500,-0.025725,0.130000,-0.018704,-0.007556,0.117902,0.222087,0.143716,-0.500000,0.565665,25.248000
0.394,-0.018500,-0.025640,0.130000,-0.018705,-0.007555,0.117901,0.222073,0.143715,-0.500000,0.565659,24.512000
0.419,-0.018500,-0.025555,0.130000,-0.018707,-0.007553,0.117901,0.222064,0.143711,-0.500000,0.565655,24.613000
0.444,-0.018500,-0.025470,0.130000,-0.018708,-0.007554,0.117900,0.222059,0.143702,-0.500000,0.565650,23.783000
0.469,-0.018500,-0.025385,0.130000,-0.018707,-0.007556,0.117900,0.222048,0.143696,-0.500000,0.565645,23.708000
0.494,-0.018500,-0.025300,0.130000,-0.018708,-0.007556,0.117900,0.222036,0.143694,-0.500000,0.565639,23.415000
0.519,-0.018500,-0.025215,0.130000,-0.018710,-0.007555,0.117899,0.222030,0.143689,-0.500000,0.565636,23.538000
0.544,-0.018500,-0.025130,0.130000,-0.018710,-0.007556,0.117899,0.222028,0.143678,-0.500000,0.565632,24.277000
0.569,-0.018500,-0.025045,0.130000,-0.018709,-0.007560,0.117899,0.222022,0.143665,-0.500000,0.565627,22.998000
