iter,loss,loss_obs,loss_bc,loss_ode,loss_val,loss_bc_val,loss_ode_val
0,0.36160895228385925,0.008823794312775135,0.34416189789772034,0.008623282425105572,0.3525724411010742,0.3441515266895294,0.008420899510383606
1,0.37516719102859497,0.008919967338442802,0.33376577496528625,0.03248147666454315,0.3656875491142273,0.3344486355781555,0.031238900497555733
2,0.34143969416618347,0.00874343141913414,0.32397523522377014,0.00872102566063404,0.33229967951774597,0.3241216242313385,0.008178047835826874
3,0.33439987897872925,0.00873282179236412,0.3143010139465332,0.011366038583219051,0.3252633512020111,0.3145025074481964,0.010760853067040443
4,0.32644036412239075,0.008639944717288017,0.31046149134635925,0.007338938768953085,0.31775209307670593,0.31063151359558105,0.0071205743588507175
5,0.29632359743118286,0.008310917764902115,0.2824607789516449,0.005551910027861595,0.28770145773887634,0.28255772590637207,0.005143723916262388
6,0.2554946541786194,0.008521645329892635,0.22940169274806976,0.017571328207850456,0.24576681852340698,0.22948424518108368,0.016282573342323303
7,0.19269877672195435,0.009863737039268017,0.14651624858379364,0.03631880134344101,0.18144668638706207,0.14667347073554993,0.034773219376802444
8,0.06339885294437408,0.011631724424660206,0.016514409333467484,0.03525271639227867,0.050269778817892075,0.01680883765220642,0.033460941165685654
9,0.041975341737270355,0.008504180237650871,0.011874813586473465,0.02159634791314602,0.03298712149262428,0.011802036315202713,0.02118508517742157
10,0.024305026978254318,0.007534632459282875,0.004026407841593027,0.012743987143039703,0.016471844166517258,0.004015360958874226,0.012456482276320457
11,0.02084995061159134,0.0072195883840322495,0.0026811305433511734,0.010949230752885342,0.013433495536446571,0.002678653923794627,0.0107548413798213
12,0.01789688877761364,0.0071073733270168304,0.0019264067523181438,0.008863108232617378,0.010590508580207825,0.0019133619498461485,0.008677146397531033
13,0.017183121293783188,0.007203038316220045,0.0023859210778027773,0.007594162132591009,0.009602283127605915,0.0023812551517039537,0.007221027743071318
14,0.01568133756518364,0.006840158253908157,0.0015321490354835987,0.007309029810130596,0.008444052189588547,0.001514354138635099,0.006929697934538126
15,0.015345294959843159,0.006795262917876244,0.0014200351433828473,0.00712999701499939,0.008133362978696823,0.001400380046106875,0.00673298304900527
16,0.014723039232194424,0.00669784564524889,0.0012948026414960623,0.006730390712618828,0.007570178247988224,0.0012770077446475625,0.006293170619755983
17,0.013916794210672379,0.006538014858961105,0.0011921761324629188,0.006186602637171745,0.00694208312779665,0.0011769536649808288,0.005765129346400499
18,0.012582464143633842,0.006233637221157551,0.0010996446944773197,0.005249182693660259,0.006013181060552597,0.0010760256554931402,0.004937155172228813
19,0.011485911905765533,0.005944741424173117,0.0010205332655459642,0.0045206365175545216,0.0052802832797169685,0.0009984227363020182,0.004281860310584307
20,0.010451359674334526,0.005593833513557911,0.0008865126874297857,0.0039710127748548985,0.00477628456428647,0.0008850123267620802,0.0038912722375243902
21,0.009884626604616642,0.005385566037148237,0.0008100894629023969,0.0036889712791889906,0.004528798162937164,0.0008326472016051412,0.0036961508449167013
22,0.00951165147125721,0.00533007737249136,0.0006795411463826895,0.0035020324867218733,0.004173177760094404,0.0006997191812843084,0.003473458578810096
23,0.008825691416859627,0.005150669254362583,0.000593817385379225,0.003081204602494836,0.003638332476839423,0.0006089963135309517,0.0030293362215161324
24,0.0085510965436697,0.005068815778940916,0.0005550440982915461,0.0029272371903061867,0.003468181937932968,0.0005670362734235823,0.0029011457227170467
25,0.008290375582873821,0.0049272808246314526,0.0005386798875406384,0.0028244147542864084,0.003352335188537836,0.0005483989953063428,0.0028039361350238323
26,0.00809965468943119,0.0048866309225559235,0.0005077469977550209,0.0027052774094045162,0.0031900815665721893,0.0005176222184672952,0.002672459464520216
27,0.007934829220175743,0.004826684016734362,0.0004790182283613831,0.0026291271205991507,0.0030777216888964176,0.000490644306410104,0.0025870774406939745
28,0.0077468957751989365,0.004751644562929869,0.0004492840962484479,0.0025459672324359417,0.002966933185234666,0.00046321339323185384,0.0025037198793143034
29,0.007552494294941425,0.004640477709472179,0.00042546610347926617,0.002486550249159336,0.002918017329648137,0.0004442183708306402,0.0024737990461289883
30,0.0073881251737475395,0.0045731570571660995,0.0004036242316942662,0.0024113443214446306,0.0028134011663496494,0.0004212866770103574,0.0023921143729239702
31,0.0071945274248719215,0.0044320025481283665,0.0003965912328567356,0.002365933731198311,0.0028035477735102177,0.0004162826808169484,0.0023872649762779474
32,0.006949212402105331,0.004269587341696024,0.0003728348820004612,0.0023067898582667112,0.002689897548407316,0.00038712279638275504,0.0023027746938169003
33,0.006773283705115318,0.004161678720265627,0.0003564950020518154,0.0022551098372787237,0.002583535620942712,0.00036906611057929695,0.0022144694812595844
34,0.006653798744082451,0.0040715220384299755,0.0003609690465964377,0.0022213077172636986,0.0025343922898173332,0.0003726644499693066,0.0021617277525365353
35,0.006421515718102455,0.003891370026394725,0.00037129587144590914,0.0021588497329503298,0.002485505770891905,0.0003816840471699834,0.0021038216073065996
36,0.006214870605617762,0.0036705192178487778,0.0003750035830307752,0.002169347833842039,0.0025096668396145105,0.00038361994666047394,0.002126046922057867
37,0.006101788952946663,0.003591155167669058,0.00036811360041610897,0.0021425201557576656,0.002481142757460475,0.0003787565801758319,0.0021023862063884735
38,0.0059501659125089645,0.0034713754430413246,0.0003639011993072927,0.00211488944478333,0.002464751247316599,0.00037651867023669183,0.0020882326643913984
39,0.005745859816670418,0.003297684248536825,0.00037335301749408245,0.0020748223178088665,0.002453124849125743,0.0003879874129779637,0.00206513749435544
40,0.005548708140850067,0.003137275343760848,0.0003717843792401254,0.002039648126810789,0.0024285432882606983,0.00038629109621979296,0.002042252104729414
41,0.005375219043344259,0.002990655368193984,0.00035929528530687094,0.002025268506258726,0.002420359291136265,0.0003741831751540303,0.0020461762323975563
42,0.005261717364192009,0.002916725119575858,0.00034916726872324944,0.001995825208723545,0.0023778893519192934,0.0003620517090894282,0.002015837701037526
43,0.005191936157643795,0.0028751567006111145,0.0003447882772888988,0.001971991267055273,0.002355502685531974,0.0003566729719750583,0.0019988296553492546
44,0.005109379068017006,0.002823289018124342,0.0003411553625483066,0.001944934600032866,0.0023365849629044533,0.0003547560190781951,0.00198182906024158
45,0.005003923084586859,0.002758399350568652,0.00033222598722204566,0.0019132975721731782,0.002299947664141655,0.0003469248185865581,0.001953022787347436
46,0.004912475124001503,0.0026905806735157967,0.00032919575460255146,0.0018926986958831549,0.0022735290694981813,0.00034681407851167023,0.0019267150200903416
47,0.004805151838809252,0.0026033828034996986,0.00033353216713294387,0.0018682369263842702,0.0022419521119445562,0.00035419262712821364,0.0018877595430240035
48,0.004681196063756943,0.0024935787077993155,0.00033330186852253973,0.0018543152837082744,0.002210394712164998,0.00035420202766545117,0.0018561925971880555
49,0.004614953882992268,0.0023892144672572613,0.00037063640775159,0.001855103182606399,0.0022202543914318085,0.0003972090198658407,0.0018230454297736287
50,0.004516780376434326,0.002374190604314208,0.0003368448233231902,0.0018057451816275716,0.0021347086876630783,0.00035753590054810047,0.0017771729035302997
51,0.004450655076652765,0.0023620554711669683,0.00032729716622270644,0.0017613022355362773,0.002087971894070506,0.00034390820655971766,0.0017440636875107884
52,0.004380670376121998,0.0023215459659695625,0.0003266451240051538,0.001732479315251112,0.0020678448490798473,0.0003413720696698874,0.0017264727503061295
53,0.004244830925017595,0.0022137959022074938,0.0003268103173468262,0.0017042247345671058,0.0020555402152240276,0.00033946227631531656,0.0017160779098048806
54,0.004152674227952957,0.002114439383149147,0.00031939451582729816,0.0017188400961458683,0.0020772593561559916,0.0003299554227851331,0.0017473038751631975
55,0.004034746903926134,0.00205648853443563,0.00030995431006886065,0.0016683038556948304,0.0020261025056242943,0.0003194294113200158,0.001706673065200448
56,0.0039763301610946655,0.002026116009801626,0.0003059734881389886,0.0016442409250885248,0.0019939299672842026,0.0003156863967888057,0.001678243512287736
57,0.003910138737410307,0.001983070746064186,0.0003020906005986035,0.0016249773325398564,0.001964978873729706,0.0003110824036411941,0.0016538964118808508
58,0.0038334724958986044,0.0019168095896020532,0.0002951147616840899,0.0016215480864048004,0.0019567084964364767,0.00030311400769278407,0.0016535945469513535
59,0.0037568635307252407,0.0018678773194551468,0.0002891524345614016,0.0015998338349163532,0.0019485431257635355,0.0002954578376375139,0.0016530853463336825
60,0.003702158108353615,0.0018470563227310777,0.0002831739839166403,0.0015719278017058969,0.001911190920509398,0.00028771316283382475,0.0016234777867794037
61,0.003624760080128908,0.0018035090761259198,0.00027783907717093825,0.0015434118686243892,0.0018866906175389886,0.00028283160645514727,0.0016038590110838413
62,0.003568359650671482,0.0017596232937648892,0.0002782256342470646,0.001530510955490172,0.0018847034079954028,0.0002837293141055852,0.001600974122993648
63,0.0035102269612252712,0.0017264101188629866,0.000273506244411692,0.001510310685262084,0.0018700796645134687,0.0002808870340231806,0.0015891926595941186
64,0.003447827184572816,0.0016914200969040394,0.00026589183835312724,0.0014905151911079884,0.0018623981159180403,0.00027771107852458954,0.0015846870373934507
65,0.003399898996576667,0.0016627188306301832,0.00026029496802948415,0.001476885168813169,0.001845369697548449,0.00027583344490267336,0.0015695362817496061
66,0.0033427495509386063,0.0016334342071786523,0.00025201382231898606,0.0014573016669601202,0.001821379759348929,0.0002704974031075835,0.0015508823562413454
67,0.003280853619799018,0.0016003417549654841,0.0002488357131369412,0.0014316760934889317,0.0017968083266168833,0.0002721665077842772,0.001524641877040267
68,0.0032370085828006268,0.001582262571901083,0.00024316777125932276,0.0014115781523287296,0.0017648979555815458,0.000266162067418918,0.0014987358590587974
69,0.0032065995037555695,0.001571577973663807,0.0002382047096034512,0.0013968166895210743,0.0017432818422093987,0.0002609021030366421,0.0014823797391727567
70,0.0031595691107213497,0.0015486652264371514,0.0002315525198355317,0.0013793514808639884,0.001717831240966916,0.00025498768081888556,0.0014628435019403696
71,0.003121627029031515,0.001527168438769877,0.00022694835206493735,0.0013675104128196836,0.0017035314813256264,0.0002516712702345103,0.0014518601819872856
72,0.003057604655623436,0.00148353585973382,0.00022024124336894602,0.0013538275379687548,0.00169046176597476,0.0002490610640961677,0.0014414007309824228
73,0.003043032716959715,0.0014484756393358111,0.00022638600785285234,0.0013681709533557296,0.0017099659889936447,0.00025601155357435346,0.0014539544936269522
74,0.00299560884013772,0.0014480019453912973,0.0002160978619940579,0.001331508974544704,0.0016649096505716443,0.00024640222545713186,0.0014185074251145124
75,0.0029751393012702465,0.0014444146072492003,0.0002128977794200182,0.0013178267981857061,0.0016485778614878654,0.00024270027643069625,0.0014058776432648301
76,0.002955084666609764,0.001437774277292192,0.000210821715882048,0.0013064887607470155,0.0016338946297764778,0.00023980747209861875,0.00139408721588552
77,0.0029250681400299072,0.0014221988385543227,0.00020754337310791016,0.0012953258119523525,0.0016202465631067753,0.00023514243366662413,0.0013851041439920664
78,0.002869892166927457,0.0013937903568148613,0.00019920180784538388,0.0012769000604748726,0.0015987723600119352,0.000224767456529662,0.0013740048743784428
79,0.002851414028555155,0.0013518041232600808,0.00019808107754215598,0.0013015290023759007,0.001624317024834454,0.0002208943187724799,0.0014034226769581437
80,0.0027989759109914303,0.0013446016237139702,0.00019056638120673597,0.0012638079933822155,0.001586488215252757,0.0002138979034498334,0.0013725903118029237
81,0.0027830766048282385,0.0013373116962611675,0.0001891416177386418,0.0012566233053803444,0.001581536023877561,0.00021234784799162298,0.0013691881904378533
82,0.0027572005055844784,0.0013219480169937015,0.0001872517168521881,0.0012480007717385888,0.0015770222526043653,0.00020936530199833214,0.0013676569797098637
83,0.002711773384362459,0.001289722160436213,0.00018433292279951274,0.0012377183884382248,0.0015778476372361183,0.00020470627350732684,0.0013731413055211306
84,0.00294452509842813,0.0012234289897605777,0.00034581936779432,0.001375276711769402,0.001903870259411633,0.00035131300683133304,0.0015525572234764695
85,0.002698382828384638,0.0012749187881127,0.00018694948812481016,0.0012365146540105343,0.001585033256560564,0.00020437821513041854,0.0013806550996378064
86,0.0026551897171884775,0.0012351274490356445,0.0001829511602409184,0.0012371111661195755,0.0015958452131599188,0.00019898032769560814,0.0013968648854643106
87,0.0026155586820095778,0.0011675042333081365,0.0001876319875009358,0.0012604224029928446,0.0016457687597721815,0.00020247994689270854,0.0014432888710871339
88,0.002582170767709613,0.0011466711293905973,0.00018333442858420312,0.001252165180630982,0.0016341637820005417,0.00019814149709418416,0.0014360222266986966
89,0.002522103488445282,0.0011484632268548012,0.00016925393720157444,0.0012043864699080586,0.001562685938552022,0.00018409136100672185,0.0013785945484414697
90,0.002560121938586235,0.0011443294351920485,0.00018286945123691112,0.0012329230085015297,0.0016416889848187566,0.00019902824715245515,0.0014426606940105557
91,0.002507826779037714,0.0011387187987565994,0.00016895768931135535,0.0012001501163467765,0.0015717337373644114,0.00018407389870844781,0.001387659809552133
92,0.0024939558934420347,0.001133643090724945,0.0001666959433350712,0.001193616888485849,0.0015621804632246494,0.00018161945627070963,0.0013805610360577703
93,0.0024843611754477024,0.0011299442267045379,0.0001655859814491123,0.0011888308217749,0.0015545602655038238,0.00018002554134000093,0.0013745346805080771
94,0.002470799721777439,0.0011244124034419656,0.00016524085367564112,0.0011811465956270695,0.0015416956739500165,0.0001785609929356724,0.0013631347101181746
95,0.0024548936635255814,0.0011191705707460642,0.00016302117728628218,0.0011727020610123873,0.0015233609592542052,0.00017593996017239988,0.001347420969977975
96,0.0024406230077147484,0.0011148472549393773,0.00016110160504467785,0.0011646741768345237,0.0015103556215763092,0.00017383878002874553,0.0013365168124437332
97,0.0024269255809485912,0.0011087770108133554,0.00016057246830314398,0.0011575761018320918,0.0015002228319644928,0.00017275731079280376,0.001327465521171689
98,0.002412653062492609,0.001102292095310986,0.0001586885773576796,0.0011516723316162825,0.0014925517607480288,0.0001705345930531621,0.0013220171676948667
99,0.0024014897644519806,0.0010971353622153401,0.0001566636492498219,0.0011476905783638358,0.00148492818698287,0.0001678589906077832,0.0013170691672712564
100,0.002377205528318882,0.0010822057956829667,0.0001526374398963526,0.0011423623654991388,0.0014708684757351875,0.00016275342204608023,0.0013081150827929378
101,0.002358663361519575,0.0010698778787627816,0.00015012561925686896,0.0011386597761884332,0.0014557159738615155,0.0001589413295732811,0.0012967746006324887
102,0.0023385160602629185,0.001056576264090836,0.00014807612751610577,0.001133863814175129,0.0014555827947333455,0.0001561085955472663,0.0012994741555303335
103,0.0023217343259602785,0.0010488855186849833,0.00014775661111343652,0.001125092152506113,0.0014542271383106709,0.00015549699310213327,0.0012987301452085376
104,0.0022977725602686405,0.0010355168487876654,0.00014848695718683302,0.0011137686669826508,0.0014639185974374413,0.00015507443458773196,0.0013088441919535398
105,0.002291641663759947,0.001020964584313333,0.00015640276251360774,0.001114274375140667,0.0015170492697507143,0.00016140067600645125,0.0013556486228480935
106,0.0022662014234811068,0.001018612296320498,0.00014615683176089078,0.0011014322517439723,0.0014829888241365552,0.00015172849816735834,0.0013312603114172816
107,0.0022561473306268454,0.001014932757243514,0.00014380089123733342,0.0010974137112498283,0.0014775258023291826,0.00014941916742827743,0.00132810662034899
108,0.002243418712168932,0.0010073871817439795,0.0001423604553565383,0.0010936710750684142,0.0014794300077483058,0.0001478243211749941,0.0013316057156771421
109,0.002223305869847536,0.0009957270231097937,0.0001408004609402269,0.0010867784731090069,0.0014817834598943591,0.00014596401888411492,0.0013358194846659899
110,0.002217935398221016,0.0009763441630639136,0.00014703787746839225,0.0010945532703772187,0.0015088910004124045,0.00015202203940134495,0.0013568690046668053
111,0.0021950630471110344,0.0009725454729050398,0.0001411709818057716,0.001081346650607884,0.0014863032847642899,0.0001458198094042018,0.0013404834317043424
112,0.0021889638155698776,0.0009727920405566692,0.00013941290671937168,0.0010767587227746844,0.0014803501544520259,0.00014383764937520027,0.0013365125050768256
113,0.0021832953207194805,0.0009710740414448082,0.00013846323417965323,0.0010737580014392734,0.0014723341446369886,0.00014277422451414168,0.0013295599492266774
114,0.002170747611671686,0.0009625384118407965,0.00013824703637510538,0.0010699621634557843,0.0014666413189843297,0.00014249340165406466,0.001324147917330265
115,0.0021565547212958336,0.0009540226310491562,0.0001371610997011885,0.0010653710924088955,0.0014495676150545478,0.00014205792103894055,0.0013075097231194377
116,0.0021481099538505077,0.0009485722985118628,0.0001371894613839686,0.0010623483685776591,0.0014470710884779692,0.0001424767979187891,0.0013045943342149258
117,0.0021353992633521557,0.0009407191537320614,0.00013710017083212733,0.0010575797641649842,0.0014420809457078576,0.0001429676340194419,0.00129911326803267
118,0.002119554905220866,0.0009307318832725286,0.00013708596816286445,0.0010517369955778122,0.0014397575287148356,0.0001434706646250561,0.0012962868204340339
119,0.0021095373667776585,0.0009217504994012415,0.0001385775685776025,0.0010492091532796621,0.001447001937776804,0.00014486294821836054,0.0013021390186622739
120,0.00209993589669466,0.0009217626648023725,0.0001362635230179876,0.0010419096797704697,0.001435748883523047,0.00014273764099925756,0.0012930112425237894
121,0.0020955423824489117,0.0009229627321474254,0.00013463106006383896,0.0010379485320299864,0.0014286236837506294,0.00014119733532425016,0.001287426333874464
122,0.0020908263977617025,0.0009220854844897985,0.00013366449275054038,0.001035076449625194,0.001421671942807734,0.00014037310029380023,0.0012812988134101033
123,0.0020804419182240963,0.0009158654138445854,0.0001326820201938972,0.0010318943532183766,0.001406907569617033,0.00013956514885649085,0.0012673423625528812
124,0.0020710655953735113,0.0009108366793952882,0.00013141686213202775,0.0010288120247423649,0.001396829029545188,0.0001380115863867104,0.0012588173849508166
125,0.002064771018922329,0.0009055511909537017,0.00013222891720943153,0.0010269909398630261,0.0013919363263994455,0.0001384944043820724,0.001253441907465458
126,0.0020571693312376738,0.0008971477509476244,0.0001332982792519033,0.001026723301038146,0.0013927917461842299,0.00013898368342779577,0.0012538080336526036
127,0.0020508074667304754,0.0008908009040169418,0.00013363984180614352,0.0010263667209073901,0.001390866469591856,0.00013905199011787772,0.0012518145376816392
128,0.002040400169789791,0.0008798190392553806,0.0001345443888567388,0.0010260367998853326,0.0013934358721598983,0.00013954800670035183,0.001253887894563377
129,0.0020295600406825542,0.0008700366015546024,0.00013508084521163255,0.0010244424920529127,0.0013897143071517348,0.0001395657891407609,0.001250148518010974
130,0.0020150819327682257,0.000859540537931025,0.00013468666293192655,0.0010208546882495284,0.0013975059846416116,0.00013960253272671252,0.0012579034082591534
131,0.002004107926040888,0.0008592119556851685,0.00013281159044709057,0.0010120843071490526,0.0013809121446684003,0.00013773966929875314,0.0012431724462658167
132,0.001995313446968794,0.0008593795937485993,0.00013113778550177813,0.0010047961259260774,0.0013716340763494372,0.0001362029288429767,0.001235431176610291
133,0.001987467985600233,0.0008555711829103529,0.0001307531347265467,0.001001143828034401,0.0013670086627826095,0.00013616689830087125,0.0012308417353779078
134,0.0019783175084739923,0.0008515533991158009,0.00012911403609905392,0.0009976500878110528,0.00136492436286062,0.00013466633390635252,0.0012302580289542675
