-0.0820690000,-0.0404120000,0.0000000000,-2.0954422999,-0.1193805208,0.0000000000
-0.0820915996,-0.0404207696,-0.0000000081,-2.0938160823,-0.1180402280,-0.0000000264
-0.0821141993,-0.0404295392,-0.0000000162,-2.0921898647,-0.1166999352,-0.0000000527
-0.0821353613,-0.0404362289,-0.0000000162,-2.0910726047,-0.1162822352,-0.0000000527
-0.0821565232,-0.0404429186,-0.0000000162,-2.0899553447,-0.1158645351,-0.0000000527
-0.0821939072,-0.0404547365,-0.0000000161,-2.0879816345,-0.1151266416,-0.0000000526
-0.0822312912,-0.0404665543,-0.0000000161,-2.0860079242,-0.1143887481,-0.0000000526
-0.0822686752,-0.0404783721,-0.0000000161,-2.0840342139,-0.1136508547,-0.0000000526
-0.0823060592,-0.0404901900,-0.0000000161,-2.0820605037,-0.1129129612,-0.0000000525
-0.0823434431,-0.0405020078,-0.0000000161,-2.0800867934,-0.1121750677,-0.0000000525
-0.0823808271,-0.0405138257,-0.0000000161,-2.0781130831,-0.1114371742,-0.0000000525
-0.0824182111,-0.0405256435,-0.0000000161,-2.0761393728,-0.1106992807,-0.0000000524
-0.0824555951,-0.0405374613,-0.0000000161,-2.0741656626,-0.1099613872,-0.0000000524
-0.0824929791,-0.0405492792,-0.0000000161,-2.0721919523,-0.1092234937,-0.0000000524
-0.0825303630,-0.0405610970,-0.0000000161,-2.0702182420,-0.1084856003,-0.0000000524
-0.0825677470,-0.0405729149,-0.0000000160,-2.0682445318,-0.1077477068,-0.0000000523
-0.0826051310,-0.0405847327,-0.0000000160,-2.0662708215,-0.1070098133,-0.0000000523
-0.0826425150,-0.0405965505,-0.0000000160,-2.0642971112,-0.1062719198,-0.0000000523
-0.0826798989,-0.0406083684,-0.0000000160,-2.0623234009,-0.1055340263,-0.0000000522
-0.0827172829,-0.0406201862,-0.0000000160,-2.0603496907,-0.1047961328,-0.0000000522
-0.0827546669,-0.0406320040,-0.0000000160,-2.0583759804,-0.1040582393,-0.0000000522
